nome,partido,uf,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 475/2009,MPV 475/2009,MPV 475/2009,MPV 476/2009,MPV 476/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 482/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 487/2010,MPV 487/2010,MPV 487/2010,MPV 493/2010,MPV 493/2010,MPV 495/2010,MPV 501/2010,PDC 2600/2010,PEC 300/2008,PEC 300/2008,PEC 446/2009,PEC 47/2003,PEC 507/2010,PEC 507/2010,PL 1481/2007,PL 1481/2007,PL 1481/2007,PL 2502/2007,PL 2502/2007,PL 2944/2004,PL 5186/2005,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5940/2009,PL 5941/2009,PL 5941/2009,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 277/2005,PLP 352/2002,PLP 352/2002,PLP 374/2008,PLP 374/2008,PLP 543/2009,PLP 543/2009,PLP 543/2009,PLV 16/2010,REQ 5670/2009,REQ 6467/2010,REQ 6468/2010,REQ 6752/2010,REQ 6918/2010,REQ 7166/2010,REQ 7447/2010,REQ 7513/2010,REQ 7535/2010,REQ 7546/2010,REQ 7575/2010
Antonio Carlos Biscaia,PT,RJ,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,1,0,1,0,0,0,0,0,1,-1,0,-1,-1,1,1,-1,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,1,-1,-1,0,0,0,0,0,1,1,-1,-1,1
Fernando Gonçalves,PTB,RJ,-1,-1,-1,1,-1,1,1,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-1,-1,1,-1,0,-1,-1,1,1,-1,0,0,1,0,0,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Alexandre Cardoso,PSB,RJ,0,0,0,0,-1,-1,1,0,0,0,1,1,1,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
Fátima Bezerra,PT,RN,0,-1,0,1,1,-1,0,0,1,0,1,1,1,-1,0,-1,-1,-1,1,0,-1,1,-1,1,0,0,0,1,1,1,1,1,1,1,-1,0,0,1,-1,-1,-1,1,1,0,0,0,1,0,0,-1,-1,-1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,-1,0,1,0,1,0,-1,0
Henrique Eduardo Alves,PMDB,RN,0,0,-1,1,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-1,0,-1,1,0,0,0,1,1,0,0,-1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
Eduardo Valverde,PT,RO,0,0,0,0,0,-1,-1,0,1,0,1,1,1,-1,0,-1,-1,-1,0,0,0,0,-1,1,0,-1,0,1,1,0,0,0,0,1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,1,1,1,0,-1,0,-1,1,-1,1,1,0,0,0,0,0,1,1,0,-1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,1,-1,-1,-1
Marinha Raupp,PMDB,RO,-1,0,0,0,1,-1,1,0,1,0,1,1,0,0,0,-1,0,-1,-1,0,0,0,-1,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,-1,0,1,-1,-1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,-1,0,1,0,0,1,0,0,1,0,0
Paulo Pimenta,PT,RS,0,0,-1,1,1,1,1,0,1,1,1,0,1,0,0,-1,-1,0,1,-1,-1,0,-1,1,0,-1,0,1,0,1,0,0,0,1,0,0,-1,1,1,-1,-1,0,1,0,0,0,1,1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,-1,1,0,-1,-1,1,0,0,0,0,-1
Henrique Fontana,PT,RS,-1,-1,0,0,1,0,0,0,-1,1,1,1,1,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,1,1,1,1,1,0,0,-1,0,1,-1,0,0,1,1,0,0,-1,1,1,1,0,0,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,-1,0,0,1,1,0,-1,0
Maria do Rosário,PT,RS,-1,-1,-1,0,1,0,0,0,0,1,1,1,1,-1,0,0,0,-1,1,-1,-1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,-1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,-1,0,0,-1,-1,1,0,1,1,0,0
Darcísio Perondi,PMDB,RS,1,-1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,-1,-1,0,-1,0,0,0,0,0,1,0,1,1,0,1,-1,0,0,1,1,-1,-1,1,0,0,1,0,0,0,1,-1,-1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,-1,1,1,1,1,0,1
Mendes Ribeiro Filho,PMDB,RS,-1,-1,-1,0,-1,1,1,0,1,0,1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,0,-1,0,1,1,1,1,1,1,0,0,-1,-1,1,1,1,-1,1,0,-1,1,0,1,-1,0,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,-1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
Eliseu Padilha,PMDB,RS,-1,0,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,-1,0,1,-1,-1,0,1,0,0,0,0,0,0,0,-1,1,1,1,-1,0,1,-1,0,0,1,0,0,0,-1,0,1,-1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,0,0,0,1,0,1,0
Nelson Proença,PPS,RS,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Beto Albuquerque,PSB,RS,-1,-1,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0,-1,1,0,0,-1,1,1,0,0,0,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
Vignatti,PT,SC,0,0,-1,1,1,0,-1,0,0,1,1,1,0,0,0,-1,-1,-1,1,-1,-1,1,-1,1,1,0,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,0,0,0,1,0,1,1,-1,0,0,0,1,1,1,1
José Eduardo Cardozo,PT,SP,-1,0,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0
Arlindo Chinaglia,PT,SP,-1,-1,-1,1,0,-1,-1,0,1,0,1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,1,0,0,1,1,1,1,-1,0,-1,1,-1,0,0,0,0,0,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0
João Paulo Cunha,PT,SP,-1,-1,-1,1,0,-1,-1,0,0,1,1,1,0,0,0,-1,0,-1,1,-1,-1,1,0,0,1,0,0,1,0,1,1,1,1,1,-1,-1,-1,0,-1,-1,0,1,1,0,0,0,0,1,1,0,-1,-1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,-1,0
José Mentor,PT,SP,-1,-1,0,1,1,0,-1,0,-1,0,1,0,1,-1,0,-1,0,-1,1,-1,-1,1,-1,0,0,-1,-1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,-1,-1,0,1,0,1,1,0
Devanir Ribeiro,PT,SP,0,-1,0,1,1,-1,-1,0,1,1,1,0,0,-1,0,-1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,0,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1
Vicentinho,PT,SP,0,0,0,0,1,-1,1,0,1,0,1,1,1,0,0,-1,-1,-1,0,-1,-1,1,0,1,1,-1,-1,1,1,1,0,1,1,0,0,-1,-1,0,-1,-1,-1,0,1,-1,0,0,0,1,1,-1,-1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,-1,0,1,1,1,0,1,1
Arnaldo Faria de Sá,PTB,SP,0,0,0,0,-1,1,1,1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,0,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,1,1,-1,-1,1,1,1,1,1,0
Michel Temer,PMDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luiza Erundina,PSB,SP,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,0,0,1,1,-1,1,1,1,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,1,0,0,0,0,0,1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,1,1,-1,0,1,1,1,-1,-1,-1
Jefferson Campos,PSB,SP,-1,0,-1,1,1,0,1,0,0,0,1,0,0,-1,0,0,-1,-1,1,0,-1,0,0,1,1,1,-1,0,0,1,0,1,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,-1,0,1,0,1,-1,0,0
Marcelo Ortiz,PV,SP,-1,-1,-1,1,-1,-1,1,1,1,0,1,0,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,-1,0,1,1,1,1,1,1,1,-1,0,0,0,1,-1,-1,1,1,-1,0,-1,1,-1,1,0,0,-1,1,-1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,0,1,1,1
Carlos Sampaio,PSDB,SP,0,0,0,0,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-1,0,1,1,-1,1,1,0,0,1,-1,0,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,0,-1,-1,0,0,0,0,1,-1,1,1
Lobbe Neto,PSDB,SP,0,0,0,0,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,1,0,0,0,-1,1,-1,1,1,-1,1,1,0,-1,1,-1,-1,0,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,-1,1,1
Antonio Carlos Pannunzio,PSDB,SP,0,0,0,0,-1,1,1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,-1,0,0,0,0,1,1,-1,0,-1,0,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,1,1,1,1,1,1,-1,-1,-1,0,0,0,-1,0,1,-1,-1,1
Julio Semeghini,PSDB,SP,0,0,0,0,-1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,0,1,-1,1,1,0,-1,1,-1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0
Walter Feldman,PSDB,SP,0,0,0,0,0,1,-1,1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antonio Carlos Mendes Thame,PSDB,SP,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,-1,-1,1,1,-1,1,1,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,-1,0,-1,-1,0,0,-1,0,0,0,0,0
Aldo Rebelo,PCdoB,SP,0,-1,0,0,1,0,0,0,1,1,1,1,0,-1,0,0,0,0,0,-1,-1,0,-1,1,1,-1,-1,1,0,1,0,1,1,0,0,-1,0,0,1,0,-1,1,1,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,1,1
Eduardo Gomes,PSDB,TO,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,-1,0,1,1,0,0,0,0,1,0,1,1
Olavo Calheiros,PMDB,AL,0,-1,-1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,-1,0,1,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Givaldo Carimbão,PSB,AL,0,-1,0,1,0,-1,0,0,0,0,1,1,1,-1,-1,0,0,0,0,-1,-1,1,-1,1,0,1,0,1,0,0,0,0,0,0,0,-1,-1,1,0,-1,0,1,1,0,0,0,1,-1,1,0,0,-1,1,-1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,-1,0,0,1,0,1,1,1
Edson Duarte,PV,BA,0,-1,0,1,0,-1,1,1,1,0,1,0,0,-1,0,-1,0,-1,0,0,-1,1,-1,1,1,0,-1,0,0,1,1,1,1,0,0,-1,0,1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,-1,1,-1,1,1,0,0,0,0,0,0,1,1,-1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1
Eunício Oliveira,PMDB,CE,0,-1,-1,0,0,0,0,0,0,1,0,1,1,0,0,-1,0,-1,1,-1,-1,1,0,0,0,-1,0,0,1,1,1,0,0,1,-1,0,-1,1,0,0,-1,1,1,0,0,0,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0
Rubens Otoni,PT,GO,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luiz Bittencourt,PMDB,GO,-1,-1,-1,1,1,0,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,1
Pedro Chaves,PMDB,GO,-1,-1,-1,1,1,-1,-1,0,1,0,1,1,1,-1,0,-1,-1,0,0,0,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,-1,1,-1,1,0,-1,0,0,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,0
Mário Heringer,PDT,MG,-1,-1,0,1,0,-1,1,0,1,0,0,1,1,-1,0,-1,-1,-1,1,-1,0,0,0,0,1,-1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,0,0,1,-1,1,0,-1,-1,0,1,1,1,0,0,0,0,0,1,1,1,-1,1,0,0,0,1,1,-1,0,1,1,-1,-1,1,1,0,1,1,1
Mauro Lopes,PMDB,MG,-1,-1,-1,1,0,-1,1,0,0,0,1,1,0,0,0,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,-1,0,0,1,0,0,1,1
Bonifácio de Andrada,PSDB,MG,0,0,0,0,-1,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,-1,1,1,0,0,1,0,1,-1,1,0
Wladimir Costa,PMDB,PA,-1,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,1,0,1,0,-1,1,0,1,0,0,0,1,-1,0,0,-1,0,0,0,0,1,1,1
Jader Barbalho,PMDB,PA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson Santiago,PMDB,PB,-1,-1,-1,0,0,0,1,0,0,0,1,1,1,-1,0,0,0,-1,1,0,0,1,0,1,1,-1,0,1,1,1,0,0,0,1,-1,0,-1,1,1,-1,-1,0,1,-1,0,0,1,0,0,-1,0,-1,0,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,-1,0,0,1,1,0,0,0
Fernando Ferro,PT,PE,-1,-1,-1,1,1,0,0,0,1,1,1,1,1,-1,0,-1,-1,0,0,-1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,0,1,1,1,1,1
Gonzaga Patriota,PSB,PE,0,0,-1,0,0,0,0,1,1,0,0,0,1,-1,0,0,0,0,0,-1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,-1,0,1,0,0,-1,1,0,0,1,0,1,0,0,0,-1,0,1,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Iris Simões,PTB,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermes Parcianello,PMDB,PR,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cezar Silvestri,PPS,PR,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,1,-1,1,0,1,1,0,1,-1,1,-1,0,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,0,0,0,0,1,0,1,-1,1,1
Odílio Balbinotti,PMDB,PR,-1,-1,-1,1,0,0,-1,0,1,0,1,1,1,0,0,-1,-1,-1,1,0,-1,1,0,0,1,-1,-1,1,0,1,1,1,1,1,-1,-1,0,0,-1,-1,-1,1,1,-1,0,-1,1,1,0,-1,-1,0,1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,-1,0,1,0,1,1,1,1
Leonardo Picciani,PMDB,RJ,0,0,0,0,0,-1,1,0,1,0,0,1,1,-1,0,-1,-1,-1,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,0,0,0,0,0
Anselmo de Jesus,PT,RO,0,-1,-1,1,1,-1,-1,0,0,1,1,0,1,-1,0,-1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,1,1,0,1,1,1,-1,-1,-1,1,-1,-1,0,1,1,0,0,1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0
Pompeo de Mattos,PDT,RS,-1,-1,-1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,1,1,0,0,0,0,0,-1,0,-1,1,0,-1,0,1,1,0,0,0,1,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1
Jorge Boeira,PT,SC,0,-1,-1,1,1,-1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,0,0,1,-1,0,1,1,1,0,0,0,1,-1,-1,-1,1,0,-1,-1,1,1,0,1,0,1,0,1,0,-1,-1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0
João Matos,PMDB,SC,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,-1,0,0,0,-1,-1,0,-1,1,1,-1,0,1,0,0,1,1,1,1,0,-1,-1,1,1,-1,-1,1,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,-1,1,0,-1,0,1,0,1,1,1,1
Dimas Ramalho,PPS,SP,0,0,0,0,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,1,1,0,0,0,0,0,-1,1,0,1,0,0,1,0,1,-1,1,-1,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,-1,0,0
Osvaldo Biolchi,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Janete Capiberibe,PSB,AP,-1,-1,-1,1,-1,-1,1,0,1,0,1,1,0,0,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,0,-1,1,-1,0,-1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,0,1,-1,-1,0,1,0,0,0,0,1
Daniel Almeida,PCdoB,BA,-1,0,-1,1,1,-1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,-1,-1,-1,1,1,-1,0,0,1,-1,0,-1,1,0,1,0,0,-1,1,-1,1,1,1,0,0,0,0,0,0,0,-1,0,1,1,0,1,1,1,-1,0,0,0,0,1,1,1,1,0,1
Pedro Novais,PMDB,MA,-1,0,-1,1,1,-1,0,0,0,0,1,1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,-1,0,0,0,0,1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,0,0,-1,0,1,0,0,1,0,0,-1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,-1,0,1,0,0,1,0,1
Asdrubal Bentes,PMDB,PA,0,-1,-1,1,0,1,1,0,1,0,1,1,1,-1,0,0,-1,-1,1,0,-1,1,-1,1,0,0,-1,0,0,1,1,1,1,0,0,-1,-1,1,1,0,-1,1,1,-1,0,0,1,1,0,0,0,0,1,-1,-1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,-1,0,1,0,1,1,1,1
Nelson Marquezelli,PTB,SP,-1,0,0,0,0,0,0,1,1,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,-1,1,1,-1,-1,1,1,0,0,1,1,1,0,-1,-1,1,1,0,-1,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,-1,-1,0,0,1,1,1,1
