nome,partido,uf,PDC 240/1999,PDC 341/1999,PEC 128/1995,PEC 128/1995,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 601/1998,PEC 601/1998,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PL 1428/1999,PL 1615/1999,PL 1617/1999,PL 1617/1999,PL 2549/2000,PL 2549/2000,PL 3156/2000,PL 3310/1997,PL 3310/1997,PL 3756/2000,PL 3756/2000,PL 3756/2000,PL 3837/2000,PL 4155/1998,PL 621/1999,PL 621/1999,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 114/2000,PLP 114/2000,PLP 114/2000,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 220/1998,PLP 220/1998,PLP 220/1998,PLP 23/1999,PLP 23/1999,PLP 23/1999,PLP 77/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 90/1999,PRC 72/2000
Paulo José Gouvêa,PL,RS,0,1,1,1,-1,1,1,1,0,1,0,1,1,0,1,-1,0,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,1,0,1,-1,1,1,-1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,0,0,1,0,0,-1,-1,1,-1,-1,1,1,1,0,0,-1,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,1,1,0,0,-1,-1,0,0,-1,-1,-1,1
Yeda Crusius,PSDB,RS,-1,0,1,1,-1,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,1,-1,0,-1,-1,-1,-1,1,1,0,1,-1,1,-1,1,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,0,1,1,-1,1,0,0,1,-1,-1,0,-1,-1,1,-1,0,0,0,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,1,-1,0,1,1,-1,0,-1,1,0,0,0,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,-1
João Pizzolatti,PPB,SC,-1,0,1,1,-1,1,0,1,-1,1,0,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,1,1,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,0,-1,-1,0,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,0,1,-1,1,0,0,0,1,-1,0,0,0,0,0,0,1,1,1,0,1,0,0,-1,1,1,1,1,0,0,1,-1,-1,1,0,1,-1,1,1,1,1,1,0,0,0,0,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,-1
Carlito Merss,PT,SC,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,-1,1,1,1,1,0,-1,0,0,0,0,0,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,0,0,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0,0,0,0,0,1,-1,-1,-1,0,0,-1,-1,-1,1
Luci Choinacki,PT,SC,0,0,1,1,1,1,1,1,0,1,0,1,1,1,-1,0,-1,-1,1,0,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,0,-1,1,1,0,0,0,0,1,1,1,1,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,1,1,-1,1,1,0,-1,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,-1,-1,0,0,1,-1,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,1
Edison Andrino,PMDB,SC,0,0,1,1,-1,1,1,0,-1,-1,0,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,1,0,0,0,-1,0,0,-1,-1,-1,1,0,1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,0,1,1,-1,1,0,1,-1,0,1,-1,1,-1,0,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
Gervásio Silva,PFL,SC,-1,0,1,1,0,0,0,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,0,-1,1,1,1,1,1,1,1,1,0,-1,0,-1,0,-1,0,0,1,-1,1,-1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0,1,-1,0,0,1,1,-1,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,-1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-1
Cleonâncio Fonseca,PPB,SE,0,0,1,0,-1,1,-1,1,-1,1,0,1,1,-1,1,-1,0,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,1,0,0,1,-1,-1,1,1,0,1,0,0,1,0,0,1,0,1,-1,1,1,0,0,1,0,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-1
Jorge Alberto,PMDB,SE,-1,1,0,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,0,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,0,0,0,0,0,1,-1,1,1,1,-1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,-1,-1
Celso Russomanno,PPB,SP,-1,1,0,1,-1,1,0,0,-1,1,0,1,0,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,0,1,1,1,1,-1,0,-1,-1,-1,0,1,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,0,1,-1,-1,0,0,0,0,1,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0,1,1,1,1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,-1,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,-1
Vadão Gomes,PPB,SP,-1,1,1,0,-1,1,0,1,0,0,0,1,0,-1,1,-1,1,1,-1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,1,1,1,-1,-1,0,0,0,1,1,1,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,1,-1,1,1,-1,1,-1,0,0,1,-1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,-1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,1,1,0,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,0,0,0,0,-1,0,0,1,1,1,-1,1,1,1,-1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,-1
Iara Bernardi,PT,SP,0,0,1,1,1,1,1,1,-1,1,0,0,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,1,-1,0,1,1,1,1,-1,-1,0,0,0,-1,-1,1,0,0,1,1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,0,-1,1,1,1,0,-1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,1,1,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,0,1,0,-1,-1,1,1,-1,-1,-1,1
Arlindo Chinaglia,PT,SP,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,0,1,1,-1,1,1,1,1,1,-1,0,-1,1,1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,-1,1,-1,1,1,1,0,-1,1,1,1,1,0,1,-1,0,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,0,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
João Paulo Cunha,PT,SP,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,0,0,1,-1,-1,-1,1,1,-1,-1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,0,0,0,0,0,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,0,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,1,-1,1,1,0,-1,-1,0,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,0,1,1,-1,-1,-1,0,1,-1,-1,-1,1
Professor Luizinho,PT,SP,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
Luiz Antonio Fleury,PTB,SP,0,1,1,0,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,0,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,0,0,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,0,0,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,0,-1,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1
Michel Temer,PMDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanderval Santos,PL,SP,0,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,0,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,0,1,1,1,-1,1,1,-1,0,1,1,-1,-1,1,-1,1,1,0,0,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,1,0,0,0,0,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
Valdemar Costa Neto,PL,SP,0,1,1,0,0,0,0,1,-1,0,0,1,0,0,1,0,1,-1,1,0,0,0,0,0,1,-1,-1,0,0,0,0,1,1,1,0,0,0,0,-1,-1,-1,1,1,-1,1,0,1,0,0,1,0,-1,1,-1,0,1,-1,-1,1,-1,-1,1,1,0,0,-1,-1,-1,1,0,0,0,0,1,0,-1,1,-1,1,1,0,0,-1,-1,1,-1,1,1,0,-1,0,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,1,-1,0,0,0,0,-1,0,0,1,0,1,1,0,1,0,-1,-1,0,-1,0,0,0,0,-1,-1,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-1,-1,1,1,-1,0,-1,1
Gilberto Kassab,PFL,SP,0,1,1,1,-1,1,-1,1,0,1,0,0,1,-1,1,0,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,-1,1,-1,0,1,0,-1,0,-1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,0,0,0,0,0,1,1,1,0,0,0,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,0,1,1,1,-1,-1,1,1,0,1,1,1,1,-1,1,0,1,0,1,-1,-1,0,1,-1,1,0,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1
Corauci Sobrinho,PFL,SP,-1,0,1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,0,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,0,-1,-1,1,1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,0,0,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,-1
Luiza Erundina,PSB,SP,0,1,1,1,-1,1,1,1,0,0,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,-1,-1,-1,1
Dr. Evilásio,PSB,SP,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,0,0,0,1,-1,-1,1,1,1,0,0,0,-1,1,1,-1,-1,-1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,1,0,1,-1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
Alberto Goldman,PSDB,SP,-1,1,1,1,-1,1,0,1,-1,0,0,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,1,1,-1,1,-1,1,-1,0,1,1,0,1,-1,1,1,-1,-1,1,0,0,1,-1,0,0,0,1,1,1,1,-1,0,0,0,-1,1,0,1,0,-1,-1,0,-1,0,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,-1,1,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,1,1,-1,0,1,1,-1,-1,1,1,-1,-1,0,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,-1
Antonio Carlos Pannunzio,PSDB,SP,-1,0,1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,0,0,0,0,-1,1,-1,0,-1,0,1,0,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,0,1,-1,-1,-1,1,1,-1,-1,0,1,1,1,-1,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,-1
Salvador Zimbaldi,PSDB,SP,-1,1,1,1,-1,1,-1,1,-1,1,0,1,1,0,1,0,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,0,0,0,0,1,-1,0,0,1,-1,1,-1,1,1,-1,-1,0,0,1,1,-1,0,0,0,1,0,0,1,0,-1,1,1,-1,1,0,-1,1,-1,-1,0,-1,-1,1,-1,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Paulo Kobayashi,PSDB,SP,-1,1,1,1,-1,1,0,1,-1,1,1,0,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,0,1,0,-1,1,-1,0,0,0,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,0,-1,-1,0,-1,-1,1,-1,1,1,1,-1,1,1,1,1,0,1,-1,-1,1,1,1,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,1,0,1,-1,-1,1,1,-1,-1,1,1,-1,-1,0,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1
Julio Semeghini,PSDB,SP,0,0,0,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,-1,0,0,1,0,1,-1,1,-1,0,1,0,-1,0,0,1,0,-1,-1,1,0,1,1,1,0,0,0,0,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
Aldo Rebelo,PCdoB,SP,0,0,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,0,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,0,1,1,1,1,-1,1,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,1
Darci Coelho,PFL,TO,0,1,1,0,0,0,0,0,0,0,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,0,0,-1,1,1,1,-1,-1,1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,0,-1,1,0,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
Kátia Abreu,PFL,TO,0,0,1,1,-1,1,-1,1,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,-1,1,1,1,-1,1,1,1,0,-1,1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,1,0,-1,0,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0
