nome,partido,uf,PDC 337/1996,PEC 198/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 25/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 367/1996,PEC 41/1991,PEC 41/1991,PEC 41/1991,PL 102/1995,PL 102/1995,PL 1059/1995,PL 1125/1995,PL 1151/1995,PL 1229/1995,PL 1258/1988,PL 1275/1995,PL 1275/1995,PL 1287/1995,PL 1287/1995,PL 1325/1995,PL 1409/1996,PL 1487/1996,PL 1487/1996,PL 1536/1996,PL 1564/1996,PL 1612/1996,PL 1669/1996,PL 1669/1996,PL 1669/1996,PL 1724/1996,PL 1724/1996,PL 1801/1996,PL 1801/1996,PL 1838/1996,PL 1838/1996,PL 189/1983,PL 1935/1996,PL 1935/1996,PL 200/1995,PL 200/1995,PL 201/1995,PL 2085/1996,PL 2284/1996,PL 2317/1996,PL 2317/1996,PL 2448/1996,PL 2448/1996,PL 2504/1996,PL 2801/1992,PL 4018/1993,PL 4018/1993,PL 4716/1994,PL 490/1995,PL 738/1995,PL 7865/1986,PL 824/1991,PL 824/1991,PL 824/1991,PL 846/1995,PL 899/1995,PL 914/1995,PRC 60/1995,PRC 60/1995,PRC 60/1995
Luiz Piauhylino,PSDB,PE,-1,-1,-1,1,-1,0,0,0,-1,1,0,-1,-1,0,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,0,1,1,0,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,-1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,0,1,1,1,1
Mussa Demes,PFL,PI,-1,-1,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,-1,1,1,0,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,-1,0,1,0,0,-1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,-1,1,1,1,-1,0,1,0,0,1,0,-1,0,1,1,0,0,1,1,1
Paes Landim,PFL,PI,-1,0,-1,1,-1,0,0,0,1,0,0,0,0,0,1,-1,1,1,-1,1,1,1,-1,0,0,1,1,1,0,0,0,0,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,0,-1,-1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,-1,-1,1,0,1,1,1,1,1
Ciro Nogueira,PFL,PI,0,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,0,1,0,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,0,1,-1,1,-1,1,-1,0,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,-1,1,-1,1,-1,-1,1,1,1,-1,0,1,1
Júlio Cesar,PFL,PI,-1,1,1,1,-1,0,1,-1,-1,1,-1,-1,-1,1,1,-1,1,0,-1,1,1,1,0,-1,0,0,0,0,0,0,1,0,1,0,1,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,-1,-1,1,1,1,-1,0,1,1
José Janene,PPB,PR,-1,1,0,1,-1,0,1,0,-1,1,-1,-1,-1,0,1,0,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,0,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,0,1,-1,-1,0,0,0,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,-1,1,1,1,0,1,1,0,-1,0,1,-1,1,1,-1,0,1,0,0
Paulo Bernardo,PT,PR,0,0,1,-1,1,1,0,0,-1,-1,-1,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1,1,1,1,1,0,1,0,1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,-1,0,0,-1,-1,1,-1,0,-1,-1,0,0,0,0,1,-1,0,1,-1,0,-1,-1
Max Rosenmann,PMDB,PR,-1,1,-1,1,-1,0,0,-1,-1,-1,0,0,-1,0,0,1,1,-1,-1,1,1,1,-1,0,0,1,-1,1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,-1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,-1,0,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,1,0,1,0,0,0
Abelardo Lupion,PFL,PR,0,0,-1,1,-1,-1,1,-1,-1,-1,0,0,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,0,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,-1,0,1,1,1,0,1,-1,-1,1,1,-1,-1,0,1,1
Luiz Carlos Hauly,PSDB,PR,0,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,0,1,0,1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,-1,0,0,1,-1,0,-1,1,1,0,0,0,0,-1,-1,1,1,1,1,0,1,1
Carlos Santana,PT,RJ,0,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,0,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,1,1,-1,0,-1,0,0,-1,-1,1,-1,0,-1,0,-1,1,0,0,1,-1,-1,1,-1,0,0,0
Fernando Gonçalves,PTB,RJ,-1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,0,0,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,1,1,0,0,-1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,-1,1,1,0,1,-1,0,0,-1,1,1,-1,-1,1,1,1
Moreira Franco,PMDB,RJ,-1,-1,0,1,-1,1,1,-1,-1,1,-1,-1,0,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,0,1,-1,1,1,-1,0,1,1,1,1,1,1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1
Alexandre Cardoso,PSB,RJ,1,1,1,-1,1,1,0,1,-1,0,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,0,1,-1,1,1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,1,-1,1,0,1,0,0,0,0,-1,0,0,0,-1,0,0,1,0,0,1,-1,-1,1,-1,0,-1,-1
Paulo Feijó,PSDB,RJ,-1,-1,-1,1,0,0,0,0,0,1,0,-1,-1,1,1,-1,1,1,0,1,1,1,-1,-1,0,1,1,0,-1,1,1,-1,1,0,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,1,1,0,1,1,1,1
Itamar Serpa,PSDB,RJ,0,0,-1,1,-1,-1,0,0,-1,1,0,0,0,1,0,-1,1,1,-1,0,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,1,0,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,0,-1,1,0,1,0,0,0,1,0,1,0,1,-1,1,0,0,1,1,-1,1,0,0,1,0,0,-1,1,0,-1,1,1,1,0,1,1,1
Jandira Feghali,PCdoB,RJ,1,0,1,-1,1,1,0,0,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,0,-1,-1,-1,1,0,1,1,-1,-1,1,-1,0,-1,-1
Henrique Eduardo Alves,PMDB,RN,0,0,-1,1,-1,0,0,-1,0,1,-1,0,0,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,0,1,1,0,1,-1,1,-1,-1,-1,1,1,0,1,1,-1,-1,1,0,1,1,1,1,-1,-1,-1,-1,0,-1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,-1,1,1,1,1,-1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,-1,1,1,-1,-1,-1,1,-1,0,0,1,0,-1,1,1,1
Confúcio Moura,PMDB,RO,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,-1,1,-1,-1,1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,-1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,-1,0,-1,0,1,0,-1,1,0,-1,-1,0,0,1,-1,0,1,1
Augusto Nardes,PPB,RS,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,-1,1,-1,0,1,-1,0,0,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,0,-1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,0
Darcísio Perondi,PMDB,RS,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,-1,0,1,-1,-1,1,1,0,1,1,1,0,-1,1,0,0,0,1,-1,1,0,1,1,1,0,1,1,1,1,1,0,1,-1,1,0,0,-1,1,1,1,1,-1,1,0,-1,1,1,1,1,1,1,1
Eliseu Padilha,PMDB,RS,-1,1,-1,1,-1,-1,1,-1,-1,1,0,-1,0,1,1,1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,0,1,0,1,1,1,1,-1,-1,-1,-1,0,-1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,-1,-1,0,1,1,1,-1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,-1,1,1,-1,-1,1,1,-1,-1,-1,1,0,0,1,1,1
Yeda Crusius,PSDB,RS,0,0,-1,1,0,0,1,0,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,0,1,0,1,-1,1,1,0,0,-1,1,-1,-1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1,-1,1,-1,-1,0,1,1,0,1,1,0,1,-1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,-1,-1,-1,0,-1,0,1,1,1,1,1,1,1
João Pizzolatti,PPB,SC,0,1,-1,1,0,-1,1,-1,-1,-1,-1,0,0,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,-1,1,0,1,1,0,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,-1,-1,1,1,0,1,1,0,-1,1,-1,-1,1,1,0,-1,1,1,1
Edison Andrino,PMDB,SC,-1,0,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,0,1,-1,0,0,-1,-1,0,1,-1,0,0,1,1,0,0,0,0,0,0,1,1,1,-1,0,1,-1,0,1,0,0,-1,-1,0,0,-1,1,-1,0
Paulo Bauer,PFL,SC,-1,1,-1,1,-1,0,1,-1,0,-1,0,-1,-1,-1,1,0,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,1,0,1,1,1,-1,-1,-1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,-1,1,0,-1,1,-1,1,-1,-1,1,0,0,0,0,1,1
Cleonâncio Fonseca,PPB,SE,-1,-1,-1,1,-1,-1,-1,0,0,1,0,-1,-1,1,-1,0,-1,1,1,1,1,1,1,-1,0,1,0,1,-1,1,1,-1,0,-1,1,-1,-1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,-1,-1,-1,-1,0,0,0,1,1,0,0,-1,1,1,1,1,1,1,0,0,1,0,0,-1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-1,1,0,0,0,1,0,1,1,-1,0,1,1,0,0,0,-1,-1
Vadão Gomes,PPB,SP,-1,1,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,-1,0,1,-1,1,1,1,0,0,0,1,1,0,-1,1,1,-1,1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,0,1,0,1,0,0,1,-1,0,1,0,-1,0,0,0,1
Arlindo Chinaglia,PT,SP,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,1,-1,0,-1,-1
João Paulo Cunha,PT,SP,0,-1,1,-1,0,1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,0,0,1,1,1,-1,1,0,0,0,-1,-1,1,-1,0,0,-1,0,0,0,0,1,-1,-1,1,-1,0,-1,-1
Ivan Valente,PT,SP,1,-1,1,-1,0,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,1,-1,0,-1,-1
José Pinotti,PMDB,SP,0,1,1,0,0,0,0,0,0,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,0,1,-1,0,-1,-1,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,-1,0,0,1,0,0,1,1,1,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,1,0,1,-1,-1,0,0,0
Michel Temer,PMDB,SP,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,0,1,1,-1,0,-1,1,0,1,1,1,1
Valdemar Costa Neto,PL,SP,0,1,0,0,0,0,0,0,0,1,0,-1,-1,1,-1,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,1,0,1,0,0,-1,-1,-1,0,0,0,1,0,0,1,0,-1,-1,1,1,-1,-1,0,0,1,1,0,1,0,1,1,1,1,1,1,-1,1,-1,1,0,0,1,1,1,-1,-1,-1,1,1,1,-1,0,1,0,-1,0,1,-1,1,0,0,1,0,1,1,0,1,0,-1,-1,1,1,1,1,1,1,-1,1,-1,0,1,0,-1,-1,0,-1,-1
Corauci Sobrinho,PFL,SP,0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,0,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,0,1,1,1,-1,1,1,1,0,1,-1,1,-1,1,1,1,1,1,1,-1,-1,0,1,1,0,1,-1,1,1,1,1,1,0,1,-1,1,0,1,0,0,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,1,-1,-1,0,1,1
Antonio Carlos Pannunzio,PSDB,SP,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,0,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,0,0,0,0,0,0,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,1,-1,1,0,0,1,1,1,1,0,1,1,1,-1,1,0,1,-1,1,-1,1,-1,0,1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1
Salvador Zimbaldi,PSDB,SP,-1,0,0,1,0,0,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,0,0,0,0,1,0,0,-1,1,0,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1
Aldo Rebelo,PCdoB,SP,1,-1,1,-1,1,1,1,0,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,1,-1,-1,0,0,0,1,-1,-1,1,0,-1,1,-1,1,-1,1,0,0,-1,0,-1,0,-1,1,0,-1,-1,1,-1,0,0,0
Darci Coelho,PFL,TO,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,-1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,1,-1,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0
Olavo Calheiros,PMDB,AL,0,0,-1,-1,1,1,-1,1,0,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,0,0,1,1,1,1,1,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,0,-1,0,-1,1,0,1,1,1,0,0,0,1,-1,0,1,1,-1,0,0,1,0,0,1,-1,1,1,-1,1,1,-1,1,1,1,0,0,0
Arnon Bezerra,PSDB,CE,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,1,1,-1,1,0,1,-1,-1,0,1,1,1,0,0,1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,0,1,0,1,1,1,1,-1,1,-1,-1,0,1,1,0,1,1,0,0,-1,0,1,0,1,1,0,1,1,0,1,-1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,-1,1,0,0,1,0,0,0,0,-1,0,1,1,0,-1,0,1,1
Feu Rosa,PSDB,ES,-1,-1,0,0,0,0,0,0,0,1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,0,1,1,-1,1,0,1,0,0,0,0,0,1,-1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,-1,0,0,1,1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,1
Roberto Balestra,PPB,GO,-1,1,0,1,-1,0,0,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,-1,-1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,-1,1,1,0,1,-1,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,1,0,1,0,-1,1,1,1,1,1,0,1,-1,-1,0,1,-1,-1,1,1,0
Costa Ferreira,PFL,MA,0,1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,0,1,1,-1,1,-1,1,0,-1,-1,1,0,0,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,-1,0,1,1,1,0,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,1,-1,1,0,1,-1,0,-1,0,-1,-1,0,1,1
Romel Anizio,PPB,MG,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,0,1,-1,-1,0,1,1,1,-1,1,1,-1,1,0,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,-1,1,-1,-1,1,1,-1,-1,0,1,0
Nicias Ribeiro,PSDB,PA,-1,-1,-1,0,0,-1,1,-1,-1,1,-1,-1,-1,1,1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,0,0,0,1,0,-1,-1,-1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,1,0,0,-1,0,0,1,0,1,0,0,0,0,0,0
