nome,partido,uf,MPV 549/2011,MPV 550/2011,MPV 551/2011,MPV 551/2011,MPV 554/2011,MPV 558/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 566/2012,MPV 566/2012,MPV 566/2012,MPV 567/2012,MPV 567/2012,MPV 567/2012,MPV 570/2012,MPV 571/2012,MPV 571/2012,MPV 571/2012,MPV 574/2012,MPV 574/2012,MPV 574/2012,MPV 575/2012,MPV 576/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,PDC 514/2011,PEC 153/2003,PEC 153/2003,PEC 270/2008,PEC 416/2005,PEC 416/2005,PEC 438/2001,PEC 445/2009,PEC 471/2005,PEC 478/2010,PEC 478/2010,PL 1876/1999,PL 1876/1999,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 2330/2011,PL 2330/2011,PL 2330/2011,PL 2565/2011,PL 2565/2011,PL 2565/2011,PL 2793/2011,PL 301/2007,PL 3839/2012,PL 5279/2009,PL 5403/2001,PL 643/2011,PL 865/2011,PLP 114/2011,PLP 230/2004,PLP 362/2006,PLP 579/2010,REQ 1134/2011,REQ 2130/2011,REQ 4504/2012,REQ 4636/2012,REQ 4636/2012,REQ 6062/2012,REQ 6135/2012,REQ 6460/2012,REQ 6461/2012,PEC 471/2005
Vander Loubet,PT,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,-1,-1,0,-1,-1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,0,0,0,1,1,1,1,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,-1,1,1,1,1
Zé Geraldo,PT,PA,1,-1,-1,0,-1,1,-1,0,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,-1,1,-1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
Josué Bengtson,PTB,PA,-1,1,1,-1,1,1,-1,0,0,1,-1,0,0,0,0,0,1,0,-1,-1,0,0,-1,1,0,1,1,-1,0,1,1,-1,0,0,0,-1,1,0,1,1,1,0,0,1,1,1,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,-1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
José Priante,PMDB,PA,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,0,1,1,0,0,0,0,-1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1
Zenaldo Coutinho,PSDB,PA,-1,1,-1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,-1,0,-1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Luiz Couto,PT,PB,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,0,1,1,1,1,0,1,-1,1,1,1,-1
Benjamin Maranhão,PMDB,PB,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,1,1,1,1,0,1,0,0,1,1,-1,-1,1,0,0,0,0,-1,-1,-1,0,1,-1,0,0,-1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
Marcelo Castro,PMDB,PI,-1,-1,1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1,1,-1,0,1,-1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1
Dr. Rosinha,PT,PR,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,1,1,1,0,0,1,1,-1,1,0,1,1,1,0,0,-1,-1,0,0,0,0,0,0,1,1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,-1
Assis do Couto,PT,PR,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,0,1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
