nome,partido,uf,PDC 141/1991,PDC 256/1993,PDC 44/1984,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PL 1258/1988,PL 149/1991,PL 1491/1991,PL 1491/1991,PL 1491/1991,PL 1909/1991,PL 2801/1992,PL 3387/1992,PL 3497/1993,PL 3519/1993,PL 3610/1993,PL 3610/1993,PL 3716/1993,PL 3716/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3984/1993,PL 4176/1993,PL 4176/1993,PL 4233/1993,PL 4233/1993,PL 4562/1989,PL 4621/1990,PL 73/1991,PL 8/1991,PL 824/1991,PL 824/1991,PL 965/1991
Aldo Rebelo,PCdoB,SP,0,0,1,1,1,0,-1,-1,-1,0,-1,1,-1,-1,1,1,1,-1,1,-1,1,0,0,-1,0,0,-1,0,-1,1,1,1,-1,0,0,1,0,0,1,1,-1,-1,1,-1,0,1,-1,1,-1,1,1
Darci Coelho,PFL,TO,1,1,0,1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,0,1,0,0,1,-1,1
Olavo Calheiros,PMDB,AL,-1,0,0,1,-1,-1,-1,-1,0,0,-1,1,1,-1,1,1,0,-1,0,0,0,1,1,-1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Ariosto Holanda,PSDB,CE,1,0,0,1,1,-1,-1,0,-1,0,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,1,-1,1,1
Roberto Jefferson,PTB,RJ,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,0,-1,0,1,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,1,1
Adão Pretto,PT,RS,0,1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,0,-1,-1,-1,0,0,0,-1,1,1,1,-1,1,0,1,-1,-1,1,0,-1,-1,0,0,0,0,-1,1,0,1,-1
Pedro Novais,PMDB,MA,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,-1,1,1,-1,0,1,-1,-1,0,1,1,-1,0,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,0,-1,-1,1,1,0,1
César Bandeira,PFL,MA,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,-1,-1,1,1,0,0,1,-1,-1,-1,1,-1,0,0,1,-1,1,1,-1,1,1,-1,1
Nelson Trad,PTB,MS,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,-1,1,1,0,1,-1,0,0,0,-1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,-1,0,1,-1,-1,0,1,1
Adauto Pereira,PFL,PB,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,-1,-1,0,0,1,0,0,-1,-1,-1,-1,0,0,0,1,-1,-1,0,-1,-1,1,0,1
Miguel Arraes,PSB,PE,0,0,1,1,1,-1,-1,-1,0,-1,0,0,-1,-1,1,1,1,0,-1,-1,1,1,-1,-1,-1,0,1,0,-1,1,0,1,0,0,0,0,0,1,1,0,0,-1,0,-1,0,1,-1,1,0,1,1
Nelson Marquezelli,PTB,SP,-1,0,-1,1,0,-1,-1,-1,-1,0,0,-1,1,0,1,1,1,-1,1,1,1,0,-1,1,-1,-1,1,1,1,1,-1,1,0,1,0,-1,0,0,-1,1,1,1,-1,-1,-1,0,-1,-1,1,1,1
Ney Lopes,PFL,RN,0,0,0,1,1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,0,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,1
Osvaldo Coelho,PFL,PE,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,-1,1,0,0
José Mendonça Bezerra,PFL,PE,0,1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,0,0,-1,-1,0,1,1,1,0,1,0,1,-1,1,1,0,0,0,0,1,0,1,0,-1,-1,-1,0,1,1,0,0,0,1,0,-1,1,-1,1
Sérgio Barcellos,PFL,AP,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,0,0,1,1,0,1,1,0,0,1,0,-1,1,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,1
Giovanni Queiroz,PDT,PA,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,1,-1,0,0,0,0,-1,0,1,1,0,1,-1,0,1,1,0,-1,0,0,-1,1,1,1,1
Átila Lins,PFL,AM,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,1,1,1,0,1,0,0,0,0,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1
Freire Júnior,PMDB,TO,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
Mauro Fecury,PFL,MA,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,-1,1
Vivaldo Barbosa,PDT,RJ,-1,0,0,1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,0,-1,-1,1,0,0,-1,-1,0,1,-1,0,1,1,1,0,1,0,1,0,1,-1,0,-1,1,0,0,0,-1,0,1,0,1,1
José Dirceu,PT,SP,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,0,-1,-1,0,-1,-1,-1,1,0,1,-1,0,1,1,-1,-1,1,1,-1,0,0,0,0,1,-1,1,-1,1,-1
Pinheiro Landim,PMDB,CE,1,1,0,1,1,-1,-1,-1,0,0,0,1,1,-1,1,1,1,0,-1,1,0,1,1,-1,1,0,0,1,-1,1,1,0,1,0,0,0,-1,0,0,0,0,1,0,1,0,1,0,-1,1,0,0
João Henrique,PMDB,PI,1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,1
Laíre Rosado,PMDB,RN,0,1,-1,1,1,-1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,-1,1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,1,-1,-1,-1,-1,0,0,1,0
Efraim Morais,PFL,PB,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,1,-1,0,1,0,0
Haroldo Lima,PCdoB,BA,0,1,0,1,1,-1,-1,0,0,0,0,1,-1,0,1,1,0,-1,1,-1,1,1,-1,0,0,1,-1,-1,-1,1,1,1,-1,0,0,1,-1,-1,1,0,-1,-1,1,-1,0,0,1,1,-1,1,1
Jaques Wagner,PT,BA,0,0,0,1,1,-1,-1,0,-1,0,0,1,-1,1,1,1,1,0,1,0,-1,0,0,0,-1,0,-1,-1,-1,1,1,0,-1,0,1,0,0,0,0,1,-1,-1,0,-1,0,0,-1,1,0,0,-1
Jorge Khoury,PFL,BA,0,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,1,1,-1,-1,1,0,-1,1,1,0,0,0,0,0,1,1,0,0,0,-1,-1,-1,0,0,1
Luiz Moreira,PFL,BA,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,0,-1,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,-1,-1,1,-1,1
Aécio Neves,PSDB,MG,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,-1,1,1,1,0,0,1,0,0,0,1,-1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,1,1,-1,0,1,-1,1
Nilmário Miranda,PT,MG,-1,0,1,1,1,0,-1,-1,0,0,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,0,-1,0,0,-1,-1,0,1,1,1,-1,0,1,0,0,-1,1,1,-1,-1,1,0,0,0,0,1,0,0,0
Tilden Santiago,PT,MG,0,1,0,1,1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,0,1,-1,-1,0,-1,0,0,0,0,-1,-1,1,1,1,-1,1,0,1,0,-1,1,0,-1,-1,0,-1,0,1,-1,0,0,1,-1
