nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Adauto Pereira,PFL,PB,0,0,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,0,-1,1,1,1,1,1,-1,1,0,0,1,0,-1,-1,0,0,0,1,1
Miguel Arraes,PSB,PE,0,-1,-1,-1,-1,0,-1,0,0,-1,0,0,1,0,1,0,0,0,0,-1,0,0,1,1,1,0,-1,-1,-1,1,1,-1,0,0,0,0,1,0,0,0,1,1
Nelson Marquezelli,PTB,SP,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,1,1,0,0,0
Ney Lopes,PFL,RN,-1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,-1,0,1,0,0,0,-1,1,1,0,0,0,0,-1,0,0,0,0,0
Osvaldo Coelho,PFL,PE,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,1,0
José Mendonça Bezerra,PFL,PE,0,1,1,1,1,1,1,0,0,1,-1,0,1,0,0,0,0,0,0,1,0,0,1,-1,0,1,1,1,1,-1,0,0,1,1,0,0,-1,0,0,0,1,0
Sérgio Barcellos,PFL,AP,0,0,1,1,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,1,0,0,-1,0,1,0,1,1
Giovanni Queiroz,PDT,PA,0,1,1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,0,0,-1,1,1,1,-1,-1,-1,1,1,0,1,0,0,1,1,0,-1,0,1,1
Átila Lins,PFL,AM,0,0,0,1,0,1,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,-1,0,1,0,0,0
Freire Júnior,PMDB,TO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-1,0,1,0
