nome,partido,uf,MSC 910/1997,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 472/1997,PEC 472/1997,PEC 526/1997,PL 1164/1991,PL 200/1995,PL 3066/1997,PL 3283/1997,PL 3901/1997,PL 4011/1997,PL 4046/1997,PL 4053/1998,PL 4071/1998,PL 4071/1998,PL 4071/1998,PL 4300/1998,PL 4598/1998,PL 4598/1998,PL 4605/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4769/1998,PL 518/1995,PLP 216/1998,PLP 216/1998,PLP 216/1998,PLP 216/1998
Rommel Feijó,PSDB,CE,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,0,0,1,1,1,1,0,-1,1,-1,1,0,0,-1,-1,0,1,0,-1,1,1,-1,1,0,1
Vicente Arruda,PSDB,CE,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,1,1,0,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,0,-1,1,-1,0,0,0,0,-1,1,1,0,-1,1,1,-1,1,1,1
Inácio Arruda,PCdoB,CE,-1,-1,-1,-1,-1,-1,1,0,1,1,0,1,-1,1,1,1,1,0,1,-1,0,0,0,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,0,1,1,-1,0,0,1,-1,-1,0,1,-1,0,0,1,1,0,1,0,-1,-1,0,1,1,1,-1,0,-1
Osório Adriano,PFL,DF,0,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,0,-1,1,0,1,1,1,1,1,-1,1,0,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Nilton Baiano,PPB,ES,1,-1,0,0,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,-1,1,0,1,0,0,-1,-1,1,1,0,-1,0,1,-1,1,1,1
Vilmar Rocha,PFL,GO,0,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,0,0,0,-1,-1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,1,0,1,-1,0,1,0,0,0,0
Jovair Arantes,PSDB,GO,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,1,0,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,0,1,-1,-1,-1,1,-1,-1,0,1,0,0,1,0,0,0,1,0,1,-1,0,0,-1,1,0,0,-1,-1,0,1,1,0,1,1,-1,1,0,1
Neiva Moreira,PDT,MA,-1,-1,-1,-1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,-1,1,0,0,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,0,0,-1,1,1,1,-1,1,1,1,-1,0,0,1,0,-1,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,1,0,1,-1,-1,-1
Gastão Vieira,PMDB,MA,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,0,1,1,1,-1,1,-1,0,1,-1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-1,0,-1,1,0,0,0,-1,1,1,1,-1,1,1,0,0,0,0
Sebastião Madeira,PSDB,MA,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,1,-1,1,0,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0,0,1,1,0,0,-1,-1,1,-1,-1,0,0,-1,-1,-1,1,-1,1,1,0,0,1,1,1,1,1,-1,1,-1,1,0,0,0,-1,1,1,0,0,1,1,-1,1,0,1
