nome,partido,uf,PDC 124/1991,PDC 369/1990,PDC 370/1990,PDC 374/1990,PDC 63/1991,PDC 66/1991,PDC 66/1991,PDC 87/1991,PEC 45/1991,PEC 45/1991,PEC 45/1991,PL 1050/1991,PL 1050/1991,PL 1232/1991,PL 1263/1991,PL 1793/1991,PL 1911/1991,PL 2155/1991,PL 2155/1991,PL 2158/1991,PL 2158/1991,PL 2159/1991,PL 2366/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 4570/1989,PL 4580/1990,PL 4790/1990,PL 4790/1990,PL 5996/1990,PL 5996/1990,PL 638/1991,PL 822/1991,PL 822/1991,PL 91/1991,PL 912/1991,PLP 181/1989
Rita Camata,PMDB,ES,1,1,1,0,0,1,0,-1,0,0,1,-1,0,1,1,0,0,1,0,1,0,1,0,0,0,-1,0,-1,1,1,1,0,0,1,1,0,0,1,0,-1
Arolde de Oliveira,PFL,RJ,0,1,0,1,1,-1,-1,-1,1,0,1,0,1,1,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,1,0,1,1,-1,0,1,0,0,-1
Miro Teixeira,PDT,RJ,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,0,0,0,-1,1,1,1,1,-1,-1
Rubem Medina,PFL,RJ,1,0,0,0,1,0,0,-1,1,0,1,0,0,1,0,1,0,0,1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,1,0,1,1,-1,0,1,1,1,-1
Jorge Tadeu Mudalen,PMDB,SP,1,1,-1,0,1,0,1,-1,1,0,1,-1,-1,1,1,1,1,1,-1,0,0,-1,0,1,1,-1,-1,-1,-1,1,0,1,1,0,0,1,1,1,1,-1
José Genoíno,PT,SP,1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,-1,1,-1,1,1,-1,1,1,0,-1,0,-1,1,0,0,1,-1,-1
Marcelo Barbieri,PMDB,SP,1,1,1,1,0,0,1,-1,0,0,0,0,0,1,1,0,1,0,0,1,-1,0,0,0,1,0,0,0,-1,0,1,1,1,1,1,1,1,0,0,0
Luciano Pizzatto,PFL,PR,0,0,0,0,0,0,-1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,1,0,0,1,0,1,0
Werner Wanderer,PFL,PR,0,0,0,0,1,-1,0,0,0,0,1,-1,1,1,1,1,1,0,-1,0,0,-1,1,1,1,-1,-1,-1,-1,0,0,1,1,0,-1,1,1,1,1,0
Germano Rigotto,PMDB,RS,1,1,1,1,0,0,-1,0,1,0,1,-1,1,0,1,1,1,1,1,0,0,-1,0,0,1,-1,-1,-1,1,1,0,1,1,1,1,0,1,1,1,0
Paulo Paim,PT,RS,1,0,0,0,0,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,0,-1,0,1,0,0,0,1,1,-1,1,1,0,-1,0,0,1,-1,0,0,-1,-1
Marcos Lima,PMDB,MG,1,1,0,0,0,0,1,0,0,0,1,-1,0,1,0,1,0,0,-1,0,0,-1,1,0,0,0,-1,0,-1,0,0,0,-1,0,1,1,-1,1,1,-1
Saulo Coelho,PSDB,MG,0,-1,-1,-1,1,0,-1,-1,1,0,1,1,-1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,-1,0,0,1,-1
Socorro Gomes,PCdoB,PA,0,0,0,0,0,1,1,0,0,0,1,1,-1,-1,-1,0,-1,1,1,1,0,-1,0,-1,-1,1,0,-1,1,1,0,-1,0,0,1,0,0,1,-1,-1
Maurilio Ferreira Lima,PMDB,PE,0,0,1,0,1,0,-1,-1,1,0,1,0,0,1,1,1,1,1,1,1,0,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,0,0,1,1,-1
Elias Murad,PSDB,MG,-1,0,0,0,1,1,-1,-1,1,1,0,0,1,-1,1,-1,1,1,1,1,0,-1,1,0,0,0,0,1,-1,1,1,0,1,1,1,-1,1,1,1,-1
Edmundo Galdino,PSDB,TO,1,0,0,0,1,0,1,1,1,0,1,0,0,-1,0,1,0,1,1,1,0,-1,1,-1,0,1,1,-1,1,1,0,0,0,-1,1,0,-1,0,0,-1
Romel Anizio,PP,MG,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,-1,-1,1,0,1,1,1,0,-1,-1,-1,-1,0,1,0,1,1,-1,1,1,0,1,-1
Vadão Gomes,PP,SP,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,1,0
Derval de Paiva,PMDB,TO,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,-1,-1,1,0,0,1,1,1,0,-1,0,1,1,0,1,0,0,0,0,0,1,0,0
Aloizio Mercadante,PT,SP,1,-1,0,-1,0,1,1,0,0,0,1,-1,-1,-1,0,-1,0,1,1,0,0,1,0,0,-1,1,1,0,1,1,0,0,0,-1,1,0,0,1,-1,-1
Eraldo Tinoco,PFL,BA,0,0,1,1,1,0,-1,-1,1,0,0,0,0,1,1,1,1,0,-1,0,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,0,0,-1,0,1,1,1,-1
Aracely de Paula,PFL,MG,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,1,1,-1,-1,-1,-1,0,0,0,1,1,-1,0,1,1,0,0
Francisco Silva,PST,RJ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
Genésio Bernardino,PMDB,MG,1,1,0,0,0,1,0,-1,1,0,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,1,0,0
Odelmo Leão,PP,MG,0,0,1,1,1,0,0,-1,1,0,1,-1,1,1,1,1,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
Roberto Magalhães,PFL,PE,0,0,0,1,0,-1,-1,0,1,1,1,-1,1,1,1,0,1,1,0,1,0,-1,0,0,1,-1,1,0,-1,0,0,0,0,0,-1,0,1,0,-1,0
Ariosto Holanda,PSB,CE,1,0,-1,-1,0,1,1,1,1,0,1,1,0,-1,0,1,0,0,0,0,0,-1,1,-1,-1,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,-1
Alceste Almeida,PTB,RR,1,-1,-1,-1,-1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,-1,-1,1,1,1,0,0,0,0,1,1,1,0,-1,1,0,-1,1,-1,-1
Pedro Irujo,PMDB,BA,0,1,1,1,1,-1,-1,-1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,0
Ibsen Pinheiro,PMDB,RS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benedita da Silva,PT,RJ,1,0,0,0,0,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,1,1,-1,0,1,-1,-1,-1,1,1,-1,1,1,0,-1,0,-1,1,0,-1,0,-1,-1
Eduardo Jorge,PT,SP,1,-1,-1,-1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,1,1,-1,1,1,-1,-1,0,-1,1,0,-1,1,-1,-1
Ivanio Guerra,PFL,PR,0,1,0,1,1,-1,-1,-1,1,0,1,-1,0,1,1,1,1,-1,-1,0,-1,-1,1,1,0,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,1,1,-1
Sarney Filho,PFL,MA,0,1,1,1,1,0,0,-1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0
Gonzaga Mota,PMDB,CE,1,0,-1,-1,1,1,1,0,1,0,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,0,-1,-1
Moroni Torgan,PSDB,CE,0,-1,-1,-1,0,1,-1,-1,1,0,1,1,-1,-1,-1,1,0,1,0,1,0,0,1,0,-1,0,0,0,1,1,0,0,0,1,1,-1,-1,0,-1,-1
Antônio Geraldo,PFL,PE,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,-1,-1,-1,0,-1,0,0,0,1,-1,1,0,1,1,-1
José Múcio Monteiro,PFL,PE,0,1,1,0,0,0,-1,-1,1,0,1,0,0,1,1,1,1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,1,0,1,0
Sergio Guerra,PSB,PE,0,-1,1,-1,0,0,1,1,1,0,0,1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,1,0,1,1,-1,-1
Leur Lomanto,PFL,BA,0,1,1,1,0,0,-1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,1,1,1,1,-1,0,0,1,1,0
Manoel Castro,PFL,BA,0,1,1,1,0,-1,-1,0,1,0,1,-1,1,1,0,1,0,0,-1,1,-1,-1,1,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,0,1,1,1,-1
Flávio Arns,PSDB,PR,0,-1,-1,-1,0,1,1,0,1,-1,0,1,-1,-1,-1,0,1,0,1,0,0,-1,0,0,0,1,1,-1,0,0,0,0,0,0,1,-1,0,1,-1,-1
Luiz Dantas,PSD,AL,0,0,1,1,0,0,0,-1,1,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,-1
Ivandro Cunha Lima,PMDB,PB,1,0,1,1,1,0,-1,-1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,1,1,0,1,0,1,0,1,-1
José Luiz Clerot,PMDB,PB,0,1,1,1,1,1,1,-1,1,0,1,-1,-1,1,-1,1,1,1,1,1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,0,1,1,1,-1
Alcides Modesto,PT,BA,1,0,0,0,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,0,0,-1,1,1,-1,1,1,0,-1,0,-1,1,0,0,1,-1,-1
Ronaldo Perim,PMDB,MG,0,1,1,1,1,1,0,-1,1,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,0,0,1,-1
Sandra Starling,PT,MG,1,-1,-1,-1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,-1,0,-1,1,1,0,1,1,0,-1,-1,-1,1,-1,-1,0,-1,-1
Cidinha Campos,PDT,RJ,0,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,-1,0,-1,1,0,1,0,-1,-1
Paulo Heslander,PTB,MG,1,0,0,-1,0,0,1,-1,1,0,1,-1,0,-1,-1,1,1,-1,-1,-1,0,1,0,1,1,-1,-1,-1,-1,-1,0,1,0,-1,1,0,0,0,1,0
Zaire Rezende,PMDB,MG,1,1,-1,1,0,1,1,-1,1,0,1,-1,-1,1,-1,1,1,1,1,-1,0,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,0
Roberto Valadão,PMDB,ES,1,1,1,0,0,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1
Fábio Feldmann,PSDB,SP,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,1,0,1,0,-1,-1,1,-1,-1,1,1,-1,0,0,0,0,0,1,0,0,0,1,0,0
Hélio Bicudo,PT,SP,0,-1,-1,-1,0,1,1,-1,1,1,1,-1,-1,-1,-1,0,0,0,1,-1,0,1,1,0,-1,1,1,-1,1,1,0,-1,0,-1,1,-1,0,1,-1,-1
Koyu Iha,PSDB,SP,1,-1,0,0,1,1,1,0,1,0,1,-1,-1,-1,1,-1,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,0,-1,0,-1,0
Luiz Gushiken,PT,SP,0,0,0,0,0,1,0,0,1,1,1,-1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,-1,-1
Maluly Netto,PFL,SP,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,-1,0,0,-1,1,0,0,-1,-1,-1,-1,0,0,0,0,1,-1,0,1,1,0,0
Tuga Angerami,PSDB,SP,0,-1,-1,-1,1,1,1,-1,1,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,0,-1,1,-1,1,-1,-1,1,-1,-1
Rodrigues Palma,PTB,MT,1,1,1,0,0,-1,-1,0,0,0,1,-1,1,1,1,1,1,0,-1,0,0,-1,1,1,1,-1,-1,-1,0,0,1,1,1,0,-1,0,1,1,1,-1
Chico Vigilante,PT,DF,1,0,0,0,0,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,-1,0,-1,1,0,-1,0,1,0,-1,0,-1,1,-1,-1,0,-1,-1
Maria Laura,PT,DF,1,0,-1,0,0,0,1,0,1,0,1,-1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,0,-1,1,1,0,0,1,0,-1,0,-1,1,-1,-1,1,-1,0
Antonio Ueno,PFL,PR,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,1,0,0,0,1,0,1,-1,0,0,1,0,0
