nome,partido,uf,MPV 11/2001,MPV 14/2001,MPV 14/2001,MPV 14/2001,MPV 15/2001,MPV 15/2001,MPV 16/2001,MPV 22/2002,MPV 26/2002,MPV 44/2002,MPV 66/2002,MPV 70/2002,PEC 203/1995,PEC 289/2000,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 559/2002,PEC 559/2002,PEC 559/2002,PL 1037/1999,PL 4203/2001,PL 4203/2001,PL 6770/2002,PL 6770/2002,PLP 1/1991,PLP 275/2001,PLP 347/2002,PLP 347/2002,PLP 349/2002,PLP 349/2002,REC 211/2002,REC 238/2002
Nilton Baiano,PPB,ES,0,-1,1,1,-1,-1,1,-1,1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,1,-1,0,0,1,-1,1,-1,-1,-1
José Carlos Elias,PTB,ES,-1,-1,1,1,0,0,1,-1,1,0,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
Rose de Freitas,PSDB,ES,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilmar Rocha,PFL,GO,1,-1,1,1,0,-1,0,0,1,1,-1,0,1,0,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,-1,0,1,1,1,1,1,1,-1
Ronaldo Caiado,PFL,GO,1,0,1,1,-1,0,1,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,0,-1,1,1,0,0,0,0,0,0
Jovair Arantes,PSDB,GO,0,-1,-1,-1,0,0,-1,0,0,-1,-1,1,1,1,0,0,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,1,0,-1,1,1,0,0,0,0,-1,-1
Neiva Moreira,PDT,MA,1,1,-1,-1,0,0,0,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,1
Gastão Vieira,PMDB,MA,1,-1,-1,1,0,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Nice Lobão,PFL,MA,-1,0,-1,1,0,0,1,0,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0
Sebastião Madeira,PSDB,MA,-1,-1,1,1,-1,-1,0,0,1,0,-1,0,0,1,1,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,-1,-1
João Castelo,PSDB,MA,-1,-1,1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,-1
Herculano Anghinetti,PPB,MG,-1,0,1,1,-1,-1,0,0,0,0,1,1,0,0,1,1,-1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,-1,0,0,1,1,0,1,0,0
Ibrahim Abi-Ackel,PPB,MG,-1,-1,1,1,-1,0,1,-1,1,0,0,0,1,1,1,1,-1,1,1,1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Márcio Reinaldo Moreira,PPB,MG,-1,-1,1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,0,-1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,-1,-1
Maria do Carmo Lara,PT,MG,0,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
João Magno,PT,MG,1,0,-1,-1,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,0,1,1,1,1,1
Virgílio Guimarães,PT,MG,1,1,-1,-1,0,0,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
Paulo Delgado,PT,MG,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,0,-1,1,0,0,1,1,0,0,0,0,0,0
Gilmar Machado,PT,MG,1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Romeu Queiroz,PTB,MG,-1,-1,1,0,0,0,0,0,0,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,0,-1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,-1,0
José Militão,PTB,MG,-1,-1,1,0,0,0,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1
Fernando Diniz,PMDB,MG,1,-1,1,1,-1,0,1,-1,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,-1
Silas Brasileiro,PMDB,MG,-1,-1,1,1,-1,-1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,0,1,1,-1,0
Saraiva Felipe,PMDB,MG,1,-1,1,1,-1,0,0,0,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,0,1,-1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
Mário Assad Júnior,PL,MG,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lael Varella,PFL,MG,-1,-1,1,1,0,0,0,-1,1,0,0,0,1,1,0,0,-1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1
Narcio Rodrigues,PSDB,MG,-1,-1,1,0,-1,-1,1,0,1,-1,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,-1
Eduardo Barbosa,PSDB,MG,-1,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Vittorio Medioli,PSDB,MG,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,-1,1,0,1,1,1,1,0,-1
Custódio Mattos,PSDB,MG,-1,-1,1,1,-1,-1,0,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,-1
Osmânio Pereira,PSDB,MG,0,-1,1,1,-1,-1,1,-1,1,0,1,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,-1,-1
Rafael Guerra,PSDB,MG,0,-1,0,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,-1
Sérgio Miranda,PCdoB,MG,1,1,-1,-1,1,0,-1,1,-1,0,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1
João Grandão,PT,MS,1,0,-1,-1,1,0,1,0,0,-1,1,1,1,1,1,0,1,-1,1,1,1,0,0,0,1,-1,-1,1,1,0,-1,0,1,1,1,1,1,1,0,1,1,0
Waldemir Moka,PMDB,MS,0,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Pedro Henry,PPB,MT,0,-1,1,1,0,0,1,-1,1,0,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,-1,0
Wellington Fagundes,PL,MT,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
Celcita Pinheiro,PFL,MT,1,-1,1,1,-1,-1,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,1,1,-1
Wilson Santos,PSDB,MT,-1,-1,1,-1,-1,-1,1,-1,1,0,-1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,-1,1,1,1,1,1,1,-1,0
Paulo Rocha,PT,PA,1,1,-1,0,1,0,0,-1,0,-1,1,1,1,1,0,0,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,0,1,1,1,1,1,1,1,1,1
Babá,PT,PA,0,0,-1,-1,1,0,0,0,0,-1,0,-1,-1,1,0,0,0,-1,1,1,1,-1,-1,-1,1,-1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
Josué Bengtson,PTB,PA,1,1,-1,-1,0,0,0,-1,1,0,0,1,1,1,1,1,-1,1,0,1,-1,1,1,1,-1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,-1,1
José Priante,PMDB,PA,0,-1,0,0,-1,0,0,-1,1,0,1,1,1,1,0,0,-1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Raimundo Santos,PL,PA,1,-1,-1,-1,-1,0,0,-1,1,0,-1,0,1,1,1,1,-1,1,0,1,1,1,1,0,1,1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,1,1
Vic Pires Franco,PFL,PA,1,-1,1,1,0,0,0,-1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,-1,-1
Anivaldo Vale,PSDB,PA,-1,0,1,1,-1,-1,0,-1,1,0,1,1,1,1,1,0,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1
Zenaldo Coutinho,PSDB,PA,-1,0,1,1,0,0,1,0,0,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,-1,0
Nilson Pinto,PSDB,PA,0,-1,1,1,-1,-1,1,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,-1,-1
Enivaldo Ribeiro,PPB,PB,-1,-1,1,0,-1,-1,1,-1,1,1,1,1,0,1,1,0,-1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,-1,-1
Carlos Dunga,PTB,PB,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,0,-1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,-1,1
Inaldo Leitão,PSDB,PB,-1,-1,1,1,-1,-1,0,-1,1,-1,0,1,1,1,1,0,-1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1
Severino Cavalcanti,PPB,PE,0,-1,1,0,-1,-1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,-1
Pedro Corrêa,PPB,PE,-1,-1,1,1,-1,-1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ricardo Fiuza,PPB,PE,0,-1,1,1,0,0,1,-1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1
Armando Monteiro,PMDB,PE,-1,-1,1,1,-1,-1,1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,-1,-1
Carlos Eduardo Cadoca,PMDB,PE,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,1,-1,0
Marcos de Jesus,PL,PE,0,1,-1,0,-1,-1,0,-1,-1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
André de Paula,PFL,PE,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1
Inocêncio Oliveira,PFL,PE,-1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,1,-1,-1
Joaquim Francisco,PFL,PE,-1,0,0,0,0,0,1,-1,1,-1,-1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
Eduardo Campos,PSB,PE,1,1,-1,-1,0,0,-1,0,-1,0,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
Luiz Piauhylino,PSDB,PE,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1
José Múcio Monteiro,PSDB,PE,0,-1,1,1,-1,-1,1,0,0,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,-1,-1
Marcelo Castro,PMDB,PI,-1,0,1,1,-1,0,1,1,1,-1,1,0,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1
Mussa Demes,PFL,PI,0,-1,1,0,-1,-1,1,-1,1,0,-1,1,0,1,-1,1,0,0,-1,0,-1,1,-1,1,1,1,1,0,1,0,0,1,0,-1,0,1,1,1,0,1,1,-1
Paes Landim,PFL,PI,-1,-1,1,1,-1,-1,1,0,1,0,0,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,-1
Ciro Nogueira,PFL,PI,-1,-1,1,1,0,0,1,0,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0
Átila Lira,PSDB,PI,-1,-1,1,0,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-1,-1
José Janene,PPB,PR,1,-1,0,1,-1,0,1,-1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,-1
Dr. Rosinha,PT,PR,1,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,0,1,1,1,1,1,1,1,1,0,1
