nome,partido,uf,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 628/2013,MPV 628/2013,MPV 628/2013,MPV 630/2013,MPV 630/2013,MPV 632/2013,MPV 633/2013,MPV 633/2013,MPV 635/2013,MPV 639/2014,MPV 640/2014,MPV 650/2014,MPV 652/2014,MPV 656/2014,MPV 657/2014,PDC 1491/2014,PDC 1491/2014,PDC 1491/2014,PEC 103/2011,PEC 103/2011,PEC 111/2011,PEC 197/2012,PEC 197/2012,PEC 197/2012,PEC 247/2013,PEC 247/2013,PEC 290/2013,PEC 290/2013,PEC 293/2013,PEC 293/2013,PEC 358/2013,PEC 358/2013,PEC 358/2013,PEC 426/2014,PEC 426/2014,PEC 434/2014,PEC 434/2014,PEC 471/2005,PL 3232/1992,PL 4246/2012,PL 6025/2005,PL 6025/2005,PL 6738/2013,PL 6809/2013,PL 7735/2014,PL 8035/2010,PLN 31/2014,PLN 31/2014,PLN 36/2013,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 275/2001,PLP 276/2002,PLP 362/2006,PLP 362/2006,PLP 362/2006,PLP 397/2014,PLP 397/2014,PRC 132/2012,REP 17/2012,REP 22/2013,REP 25/2014,REQ 10361/2014,REQ 10929/2014,REQ 8130/2013,REQ 8339/2013,REQ 8880/2013,REQ 9459/2014,REQ 9534/2014,REQ 9534/2014,REQ 9534/2014,REQ 9556/2014,PEC 471/2005
Paulo Pimenta,PT,RS,-1,0,0,0,0,0,-1,0,-1,1,0,-1,0,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,-1,0,0,-1,0,0,0,0,1,0,-1,0,-1,1,0,-1,1,1,1,1,1,-1,0,0,0,0,1,0,1,-1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0
Henrique Fontana,PT,RS,-1,1,0,-1,-1,-1,0,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,1,1,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,-1,1,1,-1,0,1,1,-1,-1,1,-1,0,-1,1,1,-1,1,0,1,1,0,1,0,-1,0,-1
Maria do Rosário,PT,RS,0,0,0,-1,-1,0,0,0,0,0,1,-1,1,0,0,1,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,-1,-1,0,0,0,0,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,0,0,0,-1,1,1,-1,1,0,0,-1,-1,1,-1,0,-1,0,1,-1,0,0,1,1,0,0,0,0,0,-1
Darcísio Perondi,PMDB,RS,0,1,1,1,1,-1,-1,-1,1,0,-1,1,0,1,-1,1,0,1,0,0,-1,0,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,0,1,-1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,-1,-1,1,1,0,1,1,1,1,1,0,1,1,1,-1,-1,1,0,1
Eliseu Padilha,PMDB,RS,0,0,1,1,0,0,-1,-1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1,1,1,0,-1,-1,0,0,0
Beto Albuquerque,PSB,RS,0,1,1,-1,1,-1,1,-1,1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,1,1,1,1,1,0,1,1,0,-1,-1,1,1,0
Luci Choinacki,PT,SC,0,1,-1,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,-1,0,-1,0,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,0,0,-1,1,1,1,-1,1,0,1,-1,0,1,0,0,-1,1,0,-1,0,0,0,0,1,0,0,-1,0,0
Iara Bernardi,PT,SP,-1,0,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,0,1,0,-1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,-1,0,-1,-1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,1,1,-1,1,1,1,-1,1,0,1,-1,-1,1,-1,0,-1,1,1,-1,1,0,1,1,1,0,0,0,1,-1
Arlindo Chinaglia,PT,SP,0,1,-1,-1,-1,-1,0,0,-1,1,1,0,1,0,-1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,-1,1,-1,-1,1,1,0,1,1,0,-1,0,-1,0,0,-1,1,1,0,0,1,0,-1,1,0,0,-1,1,1,-1,-1,0,0,0,1,1,1,-1,0,0,1,0,0,0,0,-1,0,0
José Mentor,PT,SP,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,0,0,0,1,0,-1,0,-1,1,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,-1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,-1
Devanir Ribeiro,PT,SP,-1,1,0,0,0,0,-1,-1,-1,1,1,-1,1,-1,-1,1,0,-1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,0,0,1,-1,1,1,1,-1,-1,0,1,-1,-1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,-1
Vicentinho,PT,SP,0,1,0,0,-1,-1,-1,0,-1,0,0,-1,1,0,0,1,-1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,0,0,0,-1,1,1,-1,1,0,1,-1,0,1,0,-1,1,1,1,0,1,0,1,1,0,1,0,0,1,-1
Arnaldo Faria de Sá,PTB,SP,0,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,0,-1,-1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,0,1,1,0,1,1,1,0,1,0,1,-1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,-1
Luiza Erundina,PSB,SP,-1,0,1,0,1,-1,1,-1,1,-1,0,-1,-1,1,-1,-1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,0,0,0,1,1,-1,-1,1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,0,1,-1,0,1,1,1,-1,-1,1,0,1
Carlos Sampaio,PSDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
Antonio Carlos Mendes Thame,PSDB,SP,0,-1,1,1,-1,0,0,0,1,-1,-1,1,1,0,-1,-1,1,0,0,-1,-1,-1,-1,0,0,-1,1,1,0,0,-1,0,1,1,1,1,-1,-1,0,1,1,1,1,0,1,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,0,0,-1,0,1,1,1,1,0,1,1,1,1,-1,-1,1,0,1
Josias Gomes,PT,BA,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,-1,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,-1,1,1,1,0,1,1,1,-1,-1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,-1
Rubens Otoni,PT,GO,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Chaves,PMDB,GO,0,0,1,1,1,-1,-1,-1,-1,1,1,-1,0,1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,0,0,0,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,1,0,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1
Mário Heringer,PDT,MG,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,1,-1,0
Mauro Lopes,PMDB,MG,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,0,0,-1,0,1,0,1
Bonifácio de Andrada,PSDB,MG,0,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,-1,0,0,0,-1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,-1,1,1,0,0,1,1,0,0,-1,1,1,0,0,0,1,0,1
Fernando Ferro,PT,PE,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,1,-1,-1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0,0,-1,1,1,0,-1,0,-1,1,0,-1,1,0,1,1,1,-1,1,1,1,-1,1,1,0,-1,-1,1,-1,0,-1,1,1,0,1,0,1,1,1,1,0,0,1,-1
Gonzaga Patriota,PSB,PE,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,-1,-1,0,0,0,0,1,0,1,1,0,0,1,0,-1,0,1,0,-1
Hermes Parcianello,PMDB,PR,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,-1,1,-1,1,0,0,0,1,1,0,0,0,0,-1,0,1,1,1,1,0,0,1,0,0,0,-1,1,0,0
Cezar Silvestri,PPS,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odílio Balbinotti,PMDB,PR,-1,1,1,1,-1,0,0,0,0,0,1,-1,1,1,-1,1,1,-1,0,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,-1,1,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,0,1,1,0,1,0,0,1,1,1,-1,0,0,1,1
Leonardo Picciani,PMDB,RJ,-1,1,1,1,0,0,-1,-1,-1,1,1,-1,-1,1,0,0,-1,-1,0,1,-1,-1,-1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,-1,0,-1,1,0,-1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,0,1
Anselmo de Jesus,PT,RO,-1,1,0,-1,-1,0,-1,0,-1,1,1,0,0,-1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,0,0,0,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,0,-1,-1,1,1,0,0,1,0,-1,1,0,1,1,1,1,0,0,1,-1
Janete Capiberibe,PSB,AP,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,1,0,1,1,1,-1,-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Daniel Almeida,PCdoB,BA,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,0,1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,1,-1,1,0,0,-1,1,0,-1,0,-1,1,0,-1,1,0,-1,-1,1,-1,1,0,1,-1,1,0,1,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,0,1,0,0,0,-1
Pedro Novais,PMDB,MA,-1,0,0,1,1,0,0,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,-1,1,1,0
Asdrubal Bentes,PMDB,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,0
Nilton Capixaba,PTB,RO,0,1,1,0,1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,-1,0,0,-1,1,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,1,1,0,0,0,1,1,1,0,-1,1,0,-1
Nelson Marquezelli,PTB,SP,-1,1,1,1,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,-1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,-1,1,-1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,0,0,-1,0,1,1,1,0,1,1,0,-1,1,1,0,1,1,1,1,1,0,1,0,0,-1,-1,1,1,-1
Osvaldo Reis,PMDB,TO,-1,1,1,1,1,-1,-1,-1,0,0,1,0,0,1,0,0,0,-1,0,0,0,-1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,-1,1,1,-1,-1,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,1,1,1,0,0,0,0,1,0,-1,0,1,0,1
Enio Bacci,PDT,RS,-1,1,-1,1,-1,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,1,-1,-1,1,0,1
José Chaves,PTB,PE,0,0,0,1,1,0,-1,-1,-1,1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,-1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,-1,1,1,0
Giovanni Queiroz,PDT,PA,-1,1,1,0,-1,0,-1,0,-1,-1,1,0,0,1,-1,1,0,-1,0,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,0,0,1,0,1,-1,0,0,-1,1,0,-1,0,-1,1,0,-1,0,0,1,1,1,1,0,0,0,0,1,1,1,-1,-1,1,1,0,1,1,1,0,1,0,1,1,1,-1,-1,0,1,0
Pedro Eugênio,PT,PE,-1,1,0,0,0,0,-1,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,-1,0,-1,1,0,-1,1,0,0,0,1,-1,1,1,0,-1,1,0,1,-1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,-1
Ricardo Berzoini,PT,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
Magela,PT,DF,0,0,0,0,0,0,-1,-1,0,1,0,-1,1,0,0,1,1,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,-1,-1,1,0,0,0,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,0,0,1,0,0,0,0,0,1,0,0,-1,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1
Rubens Bueno,PPS,PR,0,-1,-1,1,-1,0,0,0,1,-1,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,0,1,1,1,-1,-1,1,1,1
Nilmário Miranda,PT,MG,-1,1,-1,-1,0,0,-1,0,-1,1,0,0,0,0,-1,1,-1,0,0,0,-1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,-1,0,-1,-1,1,0,0,0,1,0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-1
José Aníbal,PSDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,-1,0,1,1,-1,0,-1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Edinho Bez,PMDB,SC,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,1,1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,1,0,-1,1,0,0,-1,0,-1,-1,0,0,1,1,-1,1,1,-1,0,1,0,0,1,1,0,-1,-1,1,1,0,1,1,1,1,0,0,1,1,1,0,-1,1,1,1
João Magalhães,PMDB,MG,-1,1,1,1,1,-1,-1,-1,-1,0,0,-1,1,1,-1,0,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,1,0,-1,1,1,0,-1,0,-1,1,0,-1,1,0,0,1,1,0,1,0,1,1,1,0,1,-1,-1,1,1,0,1,1,1,1,0,-1,0,0,1,-1,-1,1,1,1
Marçal Filho,PMDB,MS,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,0,1,1,1,1,0,0,-1,0,0,1,0,1,-1,0,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,0,1,-1,-1,1,1,1,-1,-1,1,1,1
Raimundo Gomes de Matos,PSDB,CE,0,1,1,1,-1,0,0,0,1,-1,0,1,1,1,-1,-1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,-1,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,0,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,0,1
Silvio Torres,PSDB,SP,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,-1,1,1,0,0,0,0,0,0
Mauro Benevides,PMDB,CE,-1,0,1,1,0,-1,0,-1,-1,1,1,0,0,1,-1,1,1,-1,0,0,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,0,0,1,1,0,-1,0,-1,0,0,-1,1,1,-1,-1,0,-1,1,0,0,0,1,1,1,-1,-1,1,0,0,1,1,1,1,0,0,0,1,1,-1,0,0,1,1
Wolney Queiroz,PDT,PE,-1,1,0,1,1,-1,0,-1,1,-1,0,-1,-1,1,0,1,-1,0,0,-1,-1,0,-1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,-1,0,1,1,1,0,0,-1,1,0,-1,0,-1,1,0,-1,1,0,1,1,1,-1,1,0,0,0,1,0,1,-1,-1,1,1,0,1,1,1,1,0,-1,0,1,0,-1,0,0,1,0
Osmar Terra,PMDB,RS,0,1,1,0,0,-1,-1,-1,1,-1,1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1,-1,0,1,1,1,1,-1,1,-1,0,0,0,0,-1,1,0,1,0,1,0,0,0,1,1,-1,1,1,-1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,-1,0,0,1,-1,-1,1,1,1
Sandes Júnior,PP,GO,0,1,0,0,1,0,0,-1,-1,0,1,0,0,-1,0,1,1,0,0,-1,0,-1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,-1,0,-1,1,0,0,1,1,1,0,0,-1,1,1,1,1,1,1,0,-1,0,1,1,0,1,1,0,1,0,-1,0,0,0,1,-1,0,0,0
Nelson Meurer,PP,PR,-1,1,1,1,1,-1,-1,-1,-1,0,1,0,0,-1,-1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,0,1,1,-1,1,1,1,0,1,0,1,-1
Julio Lopes,PP,RJ,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,-1,-1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,-1,-1,1,1,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,1
Simão Sessim,PP,RJ,-1,0,0,1,0,-1,0,0,1,1,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,-1,1,1,0,-1,0,-1,1,0,-1,0,0,0,0,0,-1,1,1,0,1,1,0,1,-1,-1,0,0,0,0,1,0,1,1,-1,1,1,0,-1,0,0,1,1
João Pizzolatti,PP,SC,-1,1,0,0,1,0,0,-1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,-1,0,0,0,1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,-1,0,0,1,1,0,0,1,0
Mário Negromonte,PP,BA,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0
José Linhares,PP,CE,-1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,0,0
Roberto Balestra,PP,GO,-1,1,1,1,1,-1,0,-1,1,0,0,0,0,0,-1,1,0,-1,0,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,0,1,0,0,0,1,0,1,0,1,-1,0,1,1,1,1,0,0,0,0,0,0,0,-1,0,1,-1,-1,0,0,0,1,1,1,0,0,-1,1,1,0,-1,-1,1,1,1
