nome,partido,uf,MPV 136/2003,MPV 139/2003,MPV 139/2003,MPV 139/2003,MPV 140/2003,MPV 140/2003,MPV 141/2003,MPV 143/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 147/2003,MPV 148/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 154/2003,MPV 154/2003,MPV 155/2003,MPV 155/2003,MPV 160/2003,MPV 160/2003,MPV 161/2004,MPV 165/2004,MPV 165/2004,MPV 165/2004,MPV 166/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 168/2004,MPV 168/2004,MPV 169/2004,MPV 177/2004,MPV 177/2004,MPV 179/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 191/2004,MPV 191/2004,MPV 191/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 194/2004,MPV 195/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 200/2004,MPV 200/2004,MPV 201/2004,MPV 206/2004,MPV 206/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 208/2004,MPV 219/2004,MPV 219/2004,MSC 205/2004,MSC 205/2004,MSC 210/2004,MSC 411/2003,MSC 62/2004,PDC 13/2003,PEC 101/2003,PEC 101/2003,PEC 227/2004,PEC 227/2004,PEC 228/2004,PEC 228/2004,PEC 254/2000,PEC 285/2004,PEC 438/2001,PEC 574/2002,PEC 574/2002,PEC 574/2002,PEC 575/1998,PL 2399/2003,PL 2399/2003,PL 2399/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2546/2003,PL 3476/2004,PLP 188/2004,PLP 22/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 76/2003,PLP 76/2003
João Almeida,PSDB,BA,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,-1,0,1
Alice Portugal,PCdoB,BA,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,0,0,-1,-1,1,-1,0,0,1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,1,-1,0,0,-1,-1,-1,0,1,1,1,1,1,0,1,-1,1,-1,0,1,0,0,1,1,1,1,0,-1,0,-1,1,-1,-1,1,1,1,1,0,0,0,0,1,1
João Alfredo,PT,CE,-1,-1,1,-1,-1,0,-1,0,-1,1,-1,1,-1,-1,0,1,-1,1,-1,0,0,-1,0,1,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,0,1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,1,-1,1,1,0
José Pimentel,PT,CE,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,-1,0,-1,1,0,1,0,-1,-1,-1,1,1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,-1,1,0,-1,1,0,-1,-1,-1,0,1,0,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,0,-1,1,1,1,1,1,1,1,1,0,1
Aníbal Gomes,PMDB,CE,-1,-1,1,-1,-1,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,0,0,1,-1,0,1,0,0,0,1,-1,-1,-1,-1,0,1,-1,0,-1,1,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,1,1,1,0,1,-1,0,0,0,1,0,0,1,1,1,1,1,-1,0,0,0,-1,-1,1,1,1,1,0,1,1,0,1,1
Marcelo Teixeira,PMDB,CE,0,-1,1,-1,-1,-1,0,0,-1,1,-1,0,-1,0,-1,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1,0,-1,1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,-1,-1,1,-1,-1,0,0,0,1,1,0,1,0,1,-1,0,0,1,1,1,0,0,1,1,0,1,-1,0,0,0,-1,-1,0,1,0,0,0,-1,1,1,1,0
Zé Gerardo,PMDB,CE,0,-1,1,-1,-1,-1,0,-1,0,0,-1,1,-1,0,-1,1,-1,0,-1,0,0,-1,-1,1,0,0,-1,1,-1,-1,0,-1,1,0,0,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,1,0,-1,1,0,-1,0,0,0,1,1,0,1,0,1,-1,1,-1,0,1,1,0,1,1,1,1,0,-1,0,0,0,-1,-1,1,1,1,1,1,1,0,0,0,0
Leônidas Cristino,PPS,CE,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,0,1,-1,-1,-1,-1,1,1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,1,0,1,-1,0,1,-1,-1,0,-1,1,1,1,1,1,1,0,0,1,-1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,-1,1,1,0,1,1,1,1,0,1,1,1
Moroni Torgan,PFL,CE,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,1,0,0,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1
Leo Alcântara,PSDB,CE,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,-1,0,0,0,1,1,-1,0,1,1,0,0,0,0,0,1,1,-1,1,-1,0,1
Antonio Cambraia,PSDB,CE,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,1,1,0,0,1,1,0,-1,1,1,1,-1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,-1,1,-1,0,1
Bismarck Maia,PSDB,CE,1,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,1,1,0,0,1,1,1,-1,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,-1,0,1
Manoel Salviano,PSDB,CE,0,0,1,0,-1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,0,0,1,1,0,-1,1,1,1,-1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
Vicente Arruda,PSDB,CE,1,-1,1,0,1,-1,1,0,-1,1,-1,1,0,1,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,0,1
Inácio Arruda,PCdoB,CE,-1,0,1,0,-1,0,0,0,-1,0,-1,1,-1,-1,0,1,-1,1,-1,0,0,0,-1,1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,1,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,-1,1,0,1,0,1,1,1,0,1,-1,0,-1,1,-1,-1,0,0,1,1,1,1,-1,0,1,1
Maninha,PT,DF,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,1,-1,0,1,0,0,1,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,0,0,-1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0,1,1,1,-1,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,1,0,0
Wasny de Roure,PT,DF,-1,0,1,0,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,0,0,1,-1,1,-1,-1,0,-1,1,1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,0,1,1,0,1,1,1,1,1,-1,0,1,1,0,1,1,1,1,1,-1,0,0,1,-1,-1,1,1,1,0,1,1,0,1,1,1
Osório Adriano,PFL,DF,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0
Tatico,PTB,DF,-1,-1,1,-1,0,0,-1,-1,0,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,1,-1,0,0,0,0,-1,0,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,-1,0,-1,1,-1,0,0,0,1,1,1,1,1,1,1,1
José Rajão,PSDB,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Manato,PDT,ES,-1,-1,1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,-1,1,-1,1,-1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,1,0,1,-1,1,0,1,1,1,0,1,1,1,1,1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
Iriny Lopes,PT,ES,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,1,-1,0,-1,0,1,-1,-1,0,-1,1,-1,1,-1,0,-1,0,0,1,0,1,0,1,-1,0,0,-1,0,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,1,-1,1,-1,0,-1,0,-1,-1,-1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,-1,0,-1,0,-1,-1,1,1,1,1,1,1,-1,1,1,1
José Carlos Elias,PTB,ES,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,1,-1,1,-1,0,0,-1,-1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,1,1,1,-1,0,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,0
Marcelino Fraga,PMDB,ES,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,1,0,1,-1,1,0,1,0,0,1,0,0,0,-1,1,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,1,0,0,-1,-1,1,0,0,1,-1,0,0,0,1,1,0,1,1,1,1,0,-1,0,0,1,-1,-1,1,1,1,1,0,0,1,1,1,1
Renato Casagrande,PSB,ES,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,-1,0,-1,1,-1,1,-1,-1,0,0,1,1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,-1,-1,1,0,1,1,1,1,-1,1,1,1
Neyde Aparecida,PT,GO,-1,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,1,-1,1,-1,-1,1,0,-1,0,-1,1,1,1,1,1,0,1,1,1,-1,0,1,1,0,1,1,1,1,1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,0
Leandro Vilela,PMDB,GO,-1,0,0,-1,0,-1,0,0,-1,1,0,1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,1,0,0,0,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,0
Enio Tatico,PTB,GO,-1,-1,0,-1,0,0,0,0,0,1,0,0,-1,1,-1,1,-1,0,-1,0,0,-1,-1,1,-1,0,0,0,0,-1,-1,-1,1,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,-1,1,-1,-1,0,0,1,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilmar Rocha,PFL,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,1,1,1,1,1,1,0,-1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,-1,0,1
Ronaldo Caiado,PFL,GO,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,1,-1,-1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,-1,0,1
Carlos Alberto Leréia,PSDB,GO,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,1,-1,0,-1,0,0,1,-1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,1,-1,0,0
João Campos,PSDB,GO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,-1,0,0,1,1,1,-1,1,-1,0,1
Professora Raquel Teixeira,PSDB,GO,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,-1,1,-1,0,1
Neiva Moreira,PDT,MA,-1,-1,1,-1,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
Terezinha Fernandes,PT,MA,0,-1,0,0,-1,0,-1,-1,-1,1,-1,1,-1,-1,0,1,-1,1,0,0,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,0,1,0,0,-1,1,-1,-1,0,1,1,1,1,1,1,1,0,1
Gastão Vieira,PMDB,MA,-1,-1,1,-1,0,0,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,1,-1,0,0,0,0,1,1,1,1,0,1,1,1,-1,1,0,1,0,1,1,1,0,1,-1,0,-1,1,-1,-1,1,1,1,1,1,-1,1,1,0,1
Nice Lobão,PFL,MA,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,-1,0,1
Pedro Fernandes,PTB,MA,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
Clóvis Fecury,PFL,MA,-1,0,0,0,0,0,-1,0,0,1,-1,1,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,-1,-1,0,1,1,0,0,0,0,0,0,0
Sarney Filho,PV,MA,0,-1,1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,1,-1,0,0,1,0,0,0,1,0,1,-1,1,0,0,-1,0,0,1,0,1,0,1,0,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0,1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,-1,-1,-1,1,0,0,1,0,1,1,1,0,1
Ribamar Alves,PSB,MA,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,1,-1,1,0,1,-1,1,1,-1,0,1,-1,0,-1,1,-1,0,-1,-1,1,1,0,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,1,-1,1,0,-1,1,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,-1,0,0,-1,1,1,1,1,0,0,0,0,0,1
Sebastião Madeira,PSDB,MA,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,-1,1,0,1,1,1,-1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
João Castelo,PSDB,MA,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,1,-1,0,0,0,-1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-1,0,1
Edmar Moreira,PL,MG,-1,-1,1,-1,0,0,0,-1,0,1,-1,1,1,0,-1,1,0,0,-1,0,1,-1,0,1,-1,0,-1,1,-1,0,-1,-1,1,1,0,1,-1,1,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,-1,1,-1,-1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,-1,1,-1,-1,1,1,1,1,0,0,0,0,1,1
Maria do Carmo Lara,PT,MG,0,0,1,0,-1,0,-1,0,-1,1,-1,1,0,-1,0,1,-1,1,-1,0,1,-1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,0,0,-1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,0,0,-1,1,-1,-1,1,1,1,0,0,1,1,1,1,1
