nome,partido,uf,MPV 225/2004,MPV 227/2004,MPV 228/2004,MPV 231/2004,MPV 232/2004,MPV 233/2004,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 242/2005,MPV 242/2005,MPV 242/2005,MPV 245/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 249/2005,MPV 249/2005,MPV 249/2005,MPV 250/2005,MPV 250/2005,MPV 250/2005,MPV 251/2005,MPV 252/2005,MPV 252/2005,MPV 252/2005,MPV 255/2005,MPV 256/2005,MPV 257/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 259/2005,MPV 259/2005,MPV 260/2005,MPV 264/2005,PDC 1274/2004,PDC 1274/2004,PDC 1353/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 7/2003,PEC 7/2003,PL 1144/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 3627/2004,PL 4559/2004,PL 4955/2005,PL 5524/2005,PL 5524/2005,PL 5524/2005,PLP 187/1997,PLP 244/2005,PRC 248/2005,PRC 248/2005,REQ 1452/2003
Zelinda Novaes,PFL,BA,-1,1,1,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Fernando de Fabinho,PFL,BA,-1,0,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
Gerson Gabrielli,PFL,BA,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Fábio Souto,PFL,BA,-1,1,1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,1,-1,0,0,0,0,1,-1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0
Robério Nunes,PFL,BA,0,1,1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,1,0,1,0,0,0,1,1,1,-1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,-1,0,0,0,0,0
Luiz Carreira,PFL,BA,-1,1,1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,1,1,-1,0,1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
Jutahy Junior,PSDB,BA,-1,1,1,0,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,1,0,-1,-1,1,0,1,0,0,0,0,0,0,1,0,1,1,-1,1,0,1,1,1,-1,-1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,-1,1,0,1,1,-1,0,0
João Almeida,PSDB,BA,-1,1,1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,1,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1,1,-1,0,1,0,-1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,-1,1,0,1,1,0,0,0
Alice Portugal,PCdoB,BA,1,-1,-1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,0,0,0,-1,1,1,-1,0,1,1,1,1,-1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
João Alfredo,PT,CE,0,-1,-1,-1,0,0,1,1,0,0,-1,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-1,1,1,1,0,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
