nome,partido,uf,MPV 7/2001,MPV 7/2001,MSC 527/2001,PDC 381/1999,PEC 203/1995,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 277/2000,PEC 277/2000,PEC 289/2000,PEC 308/1996,PEC 308/1996,PEC 308/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 610/1998,PEC 610/1998,PEC 610/1998,PEC 610/1998,PL 1733/1996,PL 2155/1999,PL 3115/1997,PL 3242/2000,PL 3267/2000,PL 3524/2000,PL 3639/2000,PL 3657/1989,PL 3755/2000,PL 3998/2001,PL 4143/2001,PL 4177/2001,PL 4177/2001,PL 4210/2001,PL 5470/2001,PL 5470/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 116/2000,PLP 116/2000,PLP 155/2000,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 183/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 23/1999,PLP 242/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PRC 106/1992,PRC 106/1992,PRC 106/1992,PRC 176/2001,REC 113/2000,REC 144/2001,REC 52/1999
João Magno,PT,MG,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,0,-1,-1,-1,0,-1,0,-1,1,0,-1,-1,1,-1,0,0,-1,0,0
Virgílio Guimarães,PT,MG,1,1,1,-1,1,1,-1,-1,-1,1,0,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,1,0,-1,-1,1,-1,0,1,-1,0,0
Paulo Delgado,PT,MG,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,0,0,1,1,1,-1,1,0,-1,1,0,0,1,-1,1,1,0,0,0,1,0,1,0,0,0,0,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,-1,1,0,1,1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,1,1,-1,0,0
Gilmar Machado,PT,MG,1,1,1,0,1,1,-1,-1,-1,1,1,1,0,1,0,0,-1,0,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,1,0,0,-1,0,-1,1,-1,-1,-1,1,-1,0,-1,0,0,1,0,0,0,0
Romeu Queiroz,PTB,MG,0,-1,0,1,1,1,-1,-1,-1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0
José Militão,PTB,MG,0,-1,0,1,1,1,-1,0,-1,1,1,1,0,1,1,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,0,0,0,0
Fernando Diniz,PMDB,MG,0,-1,1,1,1,1,0,-1,0,1,1,1,1,0,1,1,-1,1,1,-1,1,1,0,1,-1,1,1,0,1,0,-1,1,1,0,-1,-1,0,-1,1,-1,1,1,1,-1,-1,1,1,0,0,0,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,1,1,-1,1,0,1,0,1,1,-1,1,0,0,0,1,0,-1,0,-1,0,-1,1,0,0,0
Silas Brasileiro,PMDB,MG,0,-1,0,1,1,1,-1,-1,-1,1,1,1,0,1,1,1,-1,0,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,1,-1,-1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,-1,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,0
Saraiva Felipe,PMDB,MG,0,0,1,1,0,1,-1,-1,-1,1,0,0,0,0,1,1,-1,1,-1,-1,1,1,0,0,0,0,0,1,1,0,-1,1,1,0,-1,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,0,0,1,1,-1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,1,0,-1,0,-1,1,0,1,1,0,0
Mário Assad Júnior,PL,MG,0,-1,0,1,1,1,-1,-1,-1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0
Lael Varella,PFL,MG,0,-1,1,1,1,1,-1,-1,-1,1,1,1,0,1,0,1,-1,1,0,-1,1,1,0,1,-1,1,1,1,0,1,1,1,0,0,-1,0,1,0,1,-1,0,1,1,0,-1,1,1,1,1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,1,1,-1,1,-1,0,0,0,0,0,0,-1,1,0,1,1,0,0
Narcio Rodrigues,PSDB,MG,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,1,-1,1,0,1,1,0,0,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,-1,1,0,0,1,1,1,0,-1,1,1,1,0,1,1,-1,0,1,0,0,1,1,-1,0,-1,0,0,0,1,0,0
Eduardo Barbosa,PSDB,MG,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,0,1,1,1,-1,-1,0,1,0,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,-1,0,0
Vittorio Medioli,PSDB,MG,0,-1,1,1,1,1,-1,-1,-1,1,0,0,1,0,1,1,-1,0,1,1,-1,-1,0,1,-1,1,0,1,1,0,1,1,1,-1,-1,-1,1,-1,1,0,1,1,1,0,-1,1,1,1,1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,1,0,-1,1,-1,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,1,0,1,-1,0,0,1,1,0,-1,-1,0,-1,1,-1,0,0
Custódio Mattos,PSDB,MG,0,-1,0,1,1,1,-1,-1,-1,1,0,1,1,1,0,1,-1,0,1,-1,1,0,1,1,-1,1,1,0,1,1,1,1,1,-1,0,-1,0,-1,1,0,1,1,1,0,-1,1,1,1,1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,0,1,-1,0,1,-1,1,1,-1,0,0
Osmânio Pereira,PSDB,MG,0,-1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,1,-1,1,1,-1,1,1,1,1,0,1,0,1,0,1,1,1,1,-1,-1,-1,1,0,1,0,0,1,1,0,-1,1,1,1,1,0,0,1,1,1,0,-1,0,0,-1,-1,0,-1,1,-1,-1,1,-1,-1,0,0,0,-1,0,1,1,-1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,-1,1,0,1,-1,0,0
Rafael Guerra,PSDB,MG,0,-1,1,1,1,1,-1,-1,-1,1,0,0,1,1,1,1,-1,1,1,-1,1,1,1,0,0,0,1,1,0,1,1,1,1,-1,-1,0,1,-1,1,-1,1,1,0,0,-1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,-1,0,0,0,1,-1,0,-1,1,-1,1,-1,0,-1
Sérgio Miranda,PCdoB,MG,0,0,1,-1,0,-1,-1,-1,-1,-1,0,0,1,1,1,1,-1,1,-1,-1,1,1,1,0,0,0,1,-1,-1,1,-1,-1,-1,1,1,1,0,1,0,1,1,0,-1,-1,1,-1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,1,-1,0,0
João Grandão,PT,MS,1,1,1,-1,1,1,-1,-1,-1,1,0,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,0,-1,1,0,-1,1,-1,1,1,1,0,1,1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,-1,0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,0,0,1,1,-1,0,0
Waldemir Moka,PMDB,MS,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,1,1,1,1,0,1,0,1,-1,0,-1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,1,0,0,0,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,0
Pedro Henry,PPB,MT,0,1,0,1,1,1,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0
Wellington Fagundes,PL,MT,0,0,0,1,1,1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Celcita Pinheiro,PFL,MT,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1,0,-1,0,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,-1,0,0
Wilson Santos,PSDB,MT,0,-1,0,1,1,1,0,-1,-1,1,1,-1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Paulo Rocha,PT,PA,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,0,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,-1,1,1,1,1,-1,1,-1,0,-1,-1,-1,1,-1,-1,0,1,0,-1,-1,1,-1,1,1,-1,0,0
Babá,PT,PA,1,1,0,-1,1,1,-1,0,-1,1,-1,-1,0,1,1,1,-1,1,-1,-1,1,0,1,1,0,1,0,-1,1,0,-1,1,-1,1,1,0,1,0,0,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,0,0,0,0,0,-1,-1,0,1,-1,-1,0,1,0,0,-1,1,-1,0,1,-1,0,0
Josué Bengtson,PTB,PA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,0,1,1,0,1,1,1,-1,0,-1,0,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,1,1,0,1,-1,0,0,0,0,0,0,-1,-1,0,0,1,0,0
José Priante,PMDB,PA,0,-1,0,1,1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-1,1,1,1,1,0,-1,1,1,-1,0,-1,0,-1,0,0,1,0,1,-1,-1,0,-1,1,1,1,0,0,1,1,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,1,-1,1,1,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0
Raimundo Santos,PL,PA,0,0,0,1,0,1,-1,-1,-1,1,1,-1,0,1,0,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0
Vic Pires Franco,PFL,PA,0,-1,0,1,1,1,-1,-1,-1,0,0,0,1,1,1,1,0,1,1,-1,1,0,1,1,-1,1,0,1,1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,0,0,-1,0,-1,1,-1,-1,1,-1,-1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,-1,1,-1,0,0,0,1,-1,0,-1,1,-1,0,1,0,0
Anivaldo Vale,PSDB,PA,0,-1,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,0,1,1,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,1,-1,-1,1,1,0,1,0,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,0,1,-1,1,-1,0,0
Zenaldo Coutinho,PSDB,PA,0,-1,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,-1,0,1,1,0,-1,1,1,1,1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,0,0,0,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,0,0,-1,1,1,0,-1,0,0
Nilson Pinto,PSDB,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Enivaldo Ribeiro,PPB,PB,0,-1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,0,1,1,0,-1,-1,0,0,0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,-1,1,-1,0,0,0,1,-1,0,-1,1,0,0,1,0,0
Carlos Dunga,PTB,PB,0,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,-1,1,0,1,1,1,1,1,1,-1,-1,0,1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,0,-1,0,0
Inaldo Leitão,PSDB,PB,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,0,1,1,0,0,1,1,-1,-1,-1,0,-1,1,-1,1,0,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,0,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,-1,0,0
Severino Cavalcanti,PPB,PE,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0
Pedro Corrêa,PPB,PE,0,-1,1,1,1,0,-1,-1,-1,1,-1,0,1,0,0,1,-1,1,0,0,0,1,1,1,-1,1,0,0,1,0,0,0,1,0,-1,0,1,-1,0,0,1,1,1,0,-1,1,1,1,1,1,0,0,0,1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,1,-1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,-1,1,0,0,0,0,1,0,0,-1,1,-1,1,0,0,0
Ricardo Fiuza,PPB,PE,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0
Armando Monteiro,PMDB,PE,0,0,0,1,1,1,-1,-1,0,1,0,1,1,1,0,1,-1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,-1,1,1,-1,0,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,0,1,0,-1,-1,0,-1,-1,-1,-1,0,1,1,-1,-1,1,1,0,0,-1,0,1,0,-1,1,1,1,0,1,0,0,1,-1,0,0,0,0,0,0,-1,1,0,0,1,0,0
Marcos de Jesus,PL,PE,0,1,1,-1,1,1,0,-1,0,-1,1,-1,0,1,1,1,-1,0,1,-1,1,1,1,0,-1,1,0,-1,1,0,-1,0,0,0,1,1,1,1,1,-1,0,1,-1,-1,1,0,-1,-1,0,-1,0,0,0,1,0,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,0,1,1,1,0,1,-1,1,1,0,-1,0,0,0,0,0,-1,1,-1,-1,0,0,-1,0,0,0,0,0
Inocêncio Oliveira,PFL,PE,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,-1
Joaquim Francisco,PFL,PE,0,-1,1,1,1,1,-1,-1,-1,1,1,1,0,1,1,1,-1,1,0,-1,1,1,0,1,-1,1,0,1,1,0,1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,0,-1,0,1,1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0
Eduardo Campos,PSB,PE,0,1,1,0,1,0,0,0,0,0,-1,-1,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,0,1,-1,0,1,-1,-1,0,1,0,1,0,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,1,0,0,-1,0,-1,1,1,-1,0,0
Luiz Piauhylino,PSDB,PE,0,-1,0,1,1,1,-1,-1,-1,1,0,0,1,0,1,1,-1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,-1,-1,-1,1,0,1,-1,1,1,0,0,0,0,0,1,1,-1,-1,1,1,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,-1,0,0,0,0,0,1,1,-1,1,1,1,0,1,0,-1,1,-1,0,0,1,0,-1,0,0,0,-1,1,0,0,0
José Múcio Monteiro,PSDB,PE,0,-1,0,1,1,1,-1,-1,-1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,1,-1,0,0,0,0
Marcelo Castro,PMDB,PI,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,0,-1,0,0,0,1,-1,0,-1,1,0,1,-1,0,0
Mussa Demes,PFL,PI,0,-1,0,1,1,1,0,-1,-1,1,0,1,0,1,1,1,-1,1,1,-1,1,0,1,1,0,1,0,1,0,0,0,1,1,-1,-1,0,-1,0,0,0,1,0,0,0,0,1,0,1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,1,0,0,-1,-1,0,0,0,1,0,1,0,1,1,-1,0,0,0,0,1,1,-1,0,-1,1,-1,0,-1,0,0
Paes Landim,PFL,PI,0,-1,1,1,1,1,-1,-1,0,1,1,0,0,1,1,0,-1,0,1,-1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,-1,-1,-1,-1,1,0,0,1,1,0,-1,1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,1,0,0,1,0,1,1,-1,1,1,0,0,0,1,0,0,-1,0,0,1,1,-1,0,-1,1,0,1,0,0,0
Ciro Nogueira,PFL,PI,0,-1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,-1,1,1,0,0,1,0,1,-1,0,0,1,1,0,0,1,1,-1,-1,-1,0,-1,1,0,1,1,1,0,-1,1,0,1,1,1,-1,1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,0,0,1,1,1,1,-1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,-1,0,1,0,0
Átila Lira,PSDB,PI,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-1,1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,-1,0,1,1,0,-1,1,1,1,1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,0,0,-1,1,1,1,0,1,0,0,0,0,0,0,1,1,-1,0,-1,1,0,1,-1,0,0
José Janene,PPB,PR,0,-1,1,1,1,1,-1,-1,-1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,-1,0,1,0,1,0,1,0,1,0,-1,-1,1,-1,0,-1,1,0,1,0,-1,1,1,1,1,1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,-1,1,0,0,1,1,1,0,-1,1,0,1,0,1,1,-1,1,0,0,0,1,0,-1,0,0,0,-1,1,1,0,0
Dr. Rosinha,PT,PR,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,-1,1,-1,0,-1,-1,-1,1,-1,0,-1,1,0,-1,-1,1,-1,1,1,-1,0,0
José Carlos Martinez,PTB,PR,0,-1,0,1,1,1,-1,-1,-1,1,1,0,0,1,1,1,0,1,1,-1,1,0,1,1,-1,1,1,1,0,0,1,1,0,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,-1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,-1,0,0,1,1,-1,0,-1,1,0,1,-1,0,0
Max Rosenmann,PMDB,PR,0,-1,0,1,1,1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
