nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
Socorro Gomes,PCdoB,PA,0,0,1,0,-1,0,0,1,0,0,-1,1,-1,0,-1,1
Elias Murad,PSDB,MG,-1,1,-1,-1,1,1,1,1,-1,0,1,1,1,-1,1,0
Edmundo Galdino,PSDB,TO,0,0,0,-1,1,1,0,0,-1,-1,1,-1,1,0,1,0
Valdenor Guedes,PP,AP,0,1,-1,-1,1,0,1,0,-1,1,1,-1,0,1,1,0
Romel Anizio,PP,MG,1,0,0,-1,0,0,0,1,0,0,1,1,1,0,1,0
Vadão Gomes,PP,SP,0,0,0,0,1,0,-1,1,0,0,0,-1,1,1,0,0
José Linhares,PP,CE,1,0,0,-1,1,1,1,0,-1,0,0,0,1,-1,0,0
Derval de Paiva,PMDB,TO,1,1,1,-1,0,1,1,0,-1,0,0,0,0,0,0,0
Francisco Coelho,PFL,MA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aloizio Mercadante,PT,SP,-1,0,0,0,-1,0,1,1,-1,0,-1,0,0,0,0,0
Eraldo Tinoco,PFL,BA,1,1,0,0,0,-1,1,1,-1,-1,1,-1,0,1,0,1
Aracely de Paula,PFL,MG,0,1,-1,-1,1,0,0,1,-1,0,1,-1,1,1,1,0
Genésio Bernardino,PMDB,MG,1,1,0,-1,1,0,0,1,-1,1,0,-1,1,1,1,0
Odelmo Leão,PP,MG,1,0,-1,-1,1,0,1,1,0,0,1,-1,-1,0,1,0
Roberto Magalhães,PFL,PE,0,0,-1,0,0,0,0,1,0,0,1,1,0,0,0,0
Valdir Colatto,PMDB,SC,1,1,0,1,0,0,-1,0,-1,0,0,-1,0,1,1,1
Alceste Almeida,PTB,RR,1,1,0,0,0,0,-1,0,0,0,1,1,-1,1,1,0
Pedro Irujo,PMDB,BA,1,1,-1,-1,-1,1,1,1,-1,0,1,-1,0,-1,1,0
Augusto Carvalho,PPS,DF,-1,1,1,-1,1,1,0,1,-1,0,-1,1,1,-1,0,0
Ibsen Pinheiro,PMDB,RS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benedita da Silva,PT,RJ,-1,1,0,0,-1,1,1,1,0,0,-1,0,0,-1,0,0
Sérgio Brito,PSD,BA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eduardo Jorge,PT,SP,-1,-1,1,-1,-1,0,0,1,-1,0,0,1,-1,0,0,0
Ivanio Guerra,PFL,PR,1,1,-1,0,0,0,1,1,0,0,1,1,1,0,0,1
Sarney Filho,PFL,MA,0,1,0,-1,1,1,0,1,-1,0,1,0,0,1,0,1
Gonzaga Mota,PMDB,CE,0,0,0,0,1,0,1,0,-1,1,0,0,0,0,0,1
Moroni Torgan,PSDB,CE,0,1,1,-1,0,0,0,0,0,0,0,1,1,0,1,1
