nome,partido,uf,MSF 151/2011,PEC 5/2012,PEC 5/2012,PEC 5/2012,PLC 40/2010,PLC 40/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PLV 7/2012,PLV 8/2012,PLC 10/2012,PLV 13/2012,PEC 86/2007,PEC 103/2011,PEC 103/2011,PEC 86/2007,PLS 198/2007,PLS 198/2007,PEC 33/2009,PLS 652/2011,PLS 652/2011,PEC 82/2011,PEC 82/2011,PEC 63/2011,PEC 65/2011,PEC 65/2011,PLV 16/2012,PEC 34/2012,PEC 34/2012,PLC 32/2012,PLC 32/2012,PEC 65/2011,PLV 26/2012,PLV 30/2012,Coeficiente governista
Benedito de Lira,PP,   AL   ,-1,0,0,0,0,0,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1.39E-001
Ana Amélia,PP,   RS   ,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,0,1.63E-001
Ana Rita,PT,   ES   ,-1,1,1,1,1,1,1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,1,-1,8.28E-002
Delcídio do Amaral,PT,   MS   ,0,0,0,0,1,1,-1,1,1,1,1,0,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,9.90E-002
Wellington Dias,PT,   PI   ,0,1,0,0,0,0,-1,1,1,1,1,0,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,-1,1.15E-001
Humberto Costa,PT,   PE   ,-1,1,1,1,0,0,0,1,1,1,1,1,-1,0,1,1,1,1,0,0,1,1,1,0,1,0,-1,1,-1,1,1,0,0,1,1,-1,1.28E-001
Lindbergh Farias,PT,   RJ   ,-1,1,1,1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,-1,1.32E-001
Jorge Viana,PT,   AC   ,1,0,0,0,1,1,-1,1,1,1,1,1,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,-1,1.38E-001
José Pimentel,PT,   CE   ,-1,1,1,0,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1.46E-001
Anibal Diniz,PT,   AC   ,0,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,0,1.58E-001
